rn,clusid
Br0942_aapcjagn-1,X1
Br0942_aapfcpnj-1,X3
Br0942_aapgdhak-1,X10
Br0942_aaphpeog-1,DISCARD
Br0942_aapmbajo-1,X3
Br0942_aapmkdkl-1,X3
Br0942_aapmnofo-1,X3
Br0942_aapnfecf-1,X3
Br0942_ababonik-1,DISCARD
Br0942_abaehplk-1,DISCARD
Br0942_abafehdm-1,X10
Br0942_abaihkhm-1,X10
Br0942_abamobkb-1,X10
Br0942_abanmljb-1,X7
Br0942_abanocpb-1,X7
Br0942_abaogdkp-1,X10
Br0942_abbdeojn-1,DISCARD
Br0942_abbfddfa-1,X1
Br0942_abblbdlk-1,X7
Br0942_abbmjlnp-1,X7
Br0942_abbnknib-1,X7
Br0942_abbnkome-1,DISCARD
Br0942_abcbgpff-1,X1
Br0942_abcdikok-1,X1
Br0942_abcelnfp-1,X3
Br0942_abciphhc-1,X4
Br0942_abclekka-1,X2
Br0942_abcpocbe-1,X1
Br0942_abdajahf-1,X1
Br0942_abdckpih-1,X11
Br0942_abdfcfdb-1,X11
Br0942_abdgkmdm-1,X11
Br0942_abdmoppg-1,X3
Br0942_abecjbne-1,X10
Br0942_abegmkgi-1,X10
Br0942_abejhlph-1,X10
Br0942_abeohegf-1,X1
Br0942_abeolcol-1,X1
Br0942_abeomaid-1,X5
Br0942_abfempil-1,X11
Br0942_abffaoil-1,X11
Br0942_abfghkad-1,X11
Br0942_abfieoaa-1,X11
Br0942_abfjelfd-1,X11
Br0942_abfjljbl-1,X1
Br0942_abfjmamo-1,X5
Br0942_abfnpjfc-1,X3
Br0942_abgeppmh-1,X1
Br0942_abgjabag-1,X3
Br0942_abgkfgbo-1,X4
Br0942_abgldpjb-1,X2
Br0942_abgneanm-1,X1
Br0942_abhcfdik-1,X1
Br0942_abhdlhad-1,X5
Br0942_abhebffh-1,X11
Br0942_abhedgkm-1,X11
Br0942_abheinkc-1,X1
Br0942_abhekame-1,X1
Br0942_abhggbmh-1,X11
Br0942_abhhdfbg-1,X11
Br0942_abhimkhl-1,X11
Br0942_abhjikhg-1,X11
Br0942_abhlgabj-1,X11
Br0942_abhpkdom-1,X5
Br0942_abibkpmn-1,X11
Br0942_abicdlhb-1,X11
Br0942_abideplj-1,X11
Br0942_abifahkk-1,X11
Br0942_abigbmmk-1,X1
Br0942_abiiegmo-1,X11
Br0942_abilifkn-1,X3
Br0942_abinpkhj-1,X11
Br0942_abjigffh-1,X11
Br0942_abjjlpdo-1,X11
Br0942_abjncooj-1,X11
Br0942_abjpmjeg-1,X7
Br0942_abkdcgpm-1,X11
Br0942_abkioddf-1,X1
Br0942_abkjnpcj-1,X11
Br0942_abkkncfc-1,X3
Br0942_abkmmlgp-1,X5
Br0942_abknipjo-1,X2
Br0942_ablcelik-1,X3
Br0942_ablfabgc-1,X11
Br0942_ablinknj-1,X10
Br0942_ablkhelm-1,X11
Br0942_ablknglh-1,X1
Br0942_ablnldhe-1,X1
Br0942_abloiipg-1,X11
Br0942_ablomodl-1,X1
Br0942_ablpbecm-1,X1
Br0942_abmcanhc-1,X11
Br0942_abmdmdbl-1,X11
Br0942_abmfpbld-1,X11
Br0942_abmgnieb-1,X11
Br0942_abmjadng-1,X1
Br0942_abmkddad-1,X11
Br0942_abmlfcom-1,X11
Br0942_abmmkicf-1,DISCARD
Br0942_abmmlmhg-1,X7
Br0942_abmnmifp-1,X10
Br0942_abmplflm-1,X7
Br0942_abncjkeg-1,X7
Br0942_abnkjlkd-1,X10
Br0942_abnlkadb-1,X3
Br0942_abnlppoe-1,X1
Br0942_abnmccfg-1,X10
Br0942_aboabcdn-1,X1
Br0942_aboahbmo-1,X3
Br0942_abochfoo-1,X1
Br0942_abohcphp-1,X1
Br0942_abohpldk-1,X3
Br0942_abokclnk-1,X5
Br0942_abolngga-1,X5
Br0942_abpcdeji-1,X3
Br0942_abpfpjeh-1,X4
Br0942_abpjgajf-1,X1
Br0942_abpjohji-1,X4
Br0942_abpmekoi-1,X4
Br0942_abpmolab-1,X2
Br0942_abpmpbmj-1,X10
Br0942_abpoggei-1,X2
Br0942_abppcele-1,X3
Br0942_acaihmpe-1,X7
Br0942_acakoaoj-1,DISCARD
Br0942_acbapmeb-1,X6
Br0942_acbddfcg-1,X7
Br0942_acbeednc-1,X7
Br0942_acbfafgl-1,X1
Br0942_acbfcoed-1,X7
Br0942_acbfipbe-1,X1
Br0942_acbhdodg-1,X1
Br0942_acblllab-1,X3
Br0942_acblncmi-1,X10
Br0942_acbmjlia-1,X2
Br0942_acbngnbb-1,X7
Br0942_accgimmh-1,X7
Br0942_accjiemo-1,X3
Br0942_accmhieg-1,X3
Br0942_accodmgf-1,X7
Br0942_acdcilfa-1,X7
Br0942_acdhbpdf-1,X3
Br0942_acdkfoja-1,X3
Br0942_acdkphbm-1,X10
Br0942_acdmmhpk-1,X7
Br0942_acdoekfm-1,X7
Br0942_aceabimf-1,X10
Br0942_acebkkpe-1,DISCARD
Br0942_acedjpnd-1,X10
Br0942_acehmbbk-1,X3
Br0942_aceiifal-1,X2
Br0942_acejkinl-1,X7
Br0942_acenhbne-1,X7
Br0942_acfcpipo-1,X3
Br0942_acffdgbm-1,X3
Br0942_acffphcj-1,X5
Br0942_acfgcagm-1,X10
Br0942_acfhdmmn-1,X10
Br0942_acfkmide-1,X1
Br0942_acfpklaf-1,DISCARD
Br0942_acgcbopk-1,X10
Br0942_acgihaaj-1,X10
Br0942_acgkeikm-1,X3
Br0942_acgkkmgk-1,X3
Br0942_acgledgl-1,DISCARD
Br0942_acgobdhb-1,X10
Br0942_achcmhae-1,X10
Br0942_achenbfg-1,X10
Br0942_achidigg-1,X7
Br0942_achkppaa-1,X7
Br0942_acidmmho-1,X7
Br0942_aciemnee-1,DISCARD
Br0942_acifnakb-1,DISCARD
Br0942_acigmafa-1,X7
Br0942_acjdgbaa-1,X3
Br0942_acjfpibm-1,DISCARD
Br0942_acjkleni-1,DISCARD
Br0942_ackckbkg-1,X3
Br0942_ackgjdpf-1,X10
Br0942_ackjiknh-1,X3
Br0942_ackkbkab-1,DISCARD
Br0942_ackkdodb-1,X1
Br0942_ackpegoj-1,X7
Br0942_aclgodmk-1,X3
Br0942_acljggda-1,X7
Br0942_acmgegki-1,X3
Br0942_acmhoign-1,X1
Br0942_acmjlajd-1,X2
Br0942_acmoklog-1,X7
Br0942_acnbokjl-1,X7
Br0942_acnfchmf-1,X1
Br0942_acnfmoki-1,X3
Br0942_acngdkmi-1,X1
Br0942_acnifnio-1,X10
Br0942_acnodojh-1,X2
Br0942_acnpmlei-1,X3
Br0942_acoahipg-1,DISCARD
Br0942_acoeallj-1,X3
Br0942_acoeijjj-1,X3
Br0942_acoeoadk-1,X10
Br0942_acofmgic-1,X10
Br0942_acoghlkf-1,X7
Br0942_acogkkch-1,X1
Br0942_acoidgbo-1,X10
Br0942_acojabhl-1,X10
Br0942_acojoflm-1,X7
Br0942_acokomko-1,X1
Br0942_acomhdkc-1,X1
Br0942_acpfgkmg-1,X10
Br0942_acpggnod-1,X5
Br0942_acpjijop-1,X3
Br0942_acpleipj-1,X2
Br0942_acpoicfl-1,X10
Br0942_adacbnlm-1,X1
Br0942_adadabbe-1,X10
Br0942_adaelbik-1,X3
Br0942_adahghik-1,X10
Br0942_adahmodi-1,X11
Br0942_adaleaod-1,X10
Br0942_adanbffe-1,X7
Br0942_adbfobbn-1,X10
Br0942_adbildbd-1,X10
Br0942_adbkcmge-1,X10
Br0942_adbkecle-1,X3
Br0942_adbplcja-1,X7
Br0942_adcbpjki-1,X1
Br0942_adcddjnf-1,X5
Br0942_adcebfeg-1,X3
Br0942_adceclbj-1,X3
Br0942_adchgiia-1,X10
Br0942_adcjaipo-1,X1
Br0942_adcnncfi-1,X11
Br0942_addbmagd-1,X1
Br0942_addffpfo-1,X1
Br0942_addkoiig-1,X4
Br0942_addmkloo-1,X10
Br0942_addodhfn-1,X3
Br0942_addongoh-1,X3
Br0942_adebfchj-1,X1
Br0942_adechdfn-1,X5
Br0942_adecjjfb-1,X3
Br0942_adedabkn-1,X10
Br0942_adeeclhf-1,X1
Br0942_adembajk-1,X1
Br0942_adencjkn-1,X1
Br0942_adengdom-1,X10
Br0942_adeolnfn-1,X3
Br0942_adfbcfdb-1,X10
Br0942_adfcaope-1,X3
Br0942_adffefbn-1,X5
Br0942_adffifmg-1,X7
Br0942_adfgdpjn-1,X1
Br0942_adfhcakn-1,X10
Br0942_adfippop-1,X1
Br0942_adfmjble-1,X3
Br0942_adgcppdl-1,X5
Br0942_adgkcdbh-1,X3
Br0942_adglonnp-1,X7
Br0942_adhacchj-1,X3
Br0942_adhbbghm-1,X3
Br0942_adhcenfc-1,X3
Br0942_adhjlpek-1,X3
Br0942_adhkfkbm-1,X3
Br0942_adhlfimh-1,X3
Br0942_adhohcgh-1,X1
Br0942_adianhkb-1,X2
Br0942_adiffhkg-1,X3
Br0942_adihdjlc-1,X4
Br0942_adiiobjj-1,X4
Br0942_adinhcjk-1,X10
Br0942_adjdimjj-1,DISCARD
Br0942_adjeeggo-1,X3
Br0942_adjekknd-1,X3
Br0942_adjemmnm-1,X3
Br0942_adjjiacc-1,X3
Br0942_adjlnagc-1,X3
Br0942_adjnngef-1,X10
Br0942_adkaabip-1,X1
Br0942_adkeiaij-1,DISCARD
Br0942_adkhadpn-1,X3
Br0942_adkjfdnn-1,X7
Br0942_adkjigma-1,X3
Br0942_adkjokhe-1,X10
Br0942_adkmjflm-1,X5
Br0942_adlhcmmk-1,X10
Br0942_adlhiing-1,X10
Br0942_adlhpclc-1,DISCARD
Br0942_adljkpgj-1,DISCARD
Br0942_adlkkndm-1,X10
Br0942_adlpmkkp-1,X7
Br0942_admehmbk-1,X10
Br0942_admelpak-1,X3
Br0942_admgjkil-1,X1
Br0942_admlffmo-1,X5
Br0942_admnhekl-1,X10
Br0942_admpdpeo-1,X10
Br0942_admpnefb-1,X3
Br0942_adnelmik-1,X10
Br0942_adnhmkmd-1,X10
Br0942_adnjdkeh-1,X3
Br0942_adnjpmdk-1,X10
Br0942_adnnnbgc-1,X3
Br0942_adnpoeng-1,X1
Br0942_adoajcjg-1,X1
Br0942_adocaaml-1,X10
Br0942_adodlild-1,X1
Br0942_adoeaela-1,X10
Br0942_adoibflg-1,X10
Br0942_adokkjno-1,X3
Br0942_adolgeme-1,X7
Br0942_adoogenk-1,X10
Br0942_adpaaohc-1,X1
Br0942_adpaiapp-1,X5
Br0942_adpbfiko-1,X3
Br0942_adpbkleh-1,X2
Br0942_adpdnbef-1,X10
Br0942_adphbgpb-1,X1
Br0942_adpialmc-1,X3
Br0942_adpmbmda-1,X3
Br0942_adppjgoj-1,X2
Br0942_aeabaobk-1,X1
Br0942_aeackfjd-1,X2
Br0942_aeacklpb-1,X10
Br0942_aeackpnk-1,X3
Br0942_aeadobbb-1,X3
Br0942_aeaelkdb-1,X14
Br0942_aeaminpl-1,X5
Br0942_aebbejjn-1,X10
Br0942_aebdjmpf-1,X3
Br0942_aebfdnom-1,X10
Br0942_aebhmnag-1,X1
Br0942_aebikheb-1,X5
Br0942_aebnobki-1,X10
Br0942_aebpdlnd-1,X3
Br0942_aebpnbie-1,X7
Br0942_aecchlfa-1,X3
Br0942_aecelkhl-1,X10
Br0942_aecijhdp-1,X10
Br0942_aeclbnho-1,X10
Br0942_aeclkode-1,X1
Br0942_aecloikg-1,X1
Br0942_aecmhblk-1,X7
Br0942_aecnjifo-1,X3
Br0942_aecphemb-1,X5
Br0942_aedanefl-1,X10
Br0942_aedddjkf-1,X3
Br0942_aeddgdbi-1,X10
Br0942_aediidnb-1,X3
Br0942_aedkbfho-1,X3
Br0942_aedkgino-1,X3
Br0942_aeeabkpc-1,X1
Br0942_aeeakckd-1,X7
Br0942_aeebicbi-1,X3
Br0942_aeedpphc-1,X10
Br0942_aeejkdee-1,X10
Br0942_aefaocib-1,X1
Br0942_aefcbdcj-1,X3
Br0942_aefdkfgk-1,X1
Br0942_aefeeifp-1,X7
Br0942_aefghjde-1,X3
Br0942_aefilcgg-1,X1
Br0942_aeflbokf-1,X7
Br0942_aefmmelc-1,X14
Br0942_aegbemeb-1,X10
Br0942_aegcloef-1,X10
Br0942_aegcpbpl-1,X3
Br0942_aegdgllp-1,X5
Br0942_aegdgmmp-1,X3
Br0942_aegecgcg-1,DISCARD
Br0942_aegjakjb-1,X10
Br0942_aegkaibf-1,X7
Br0942_aegmaela-1,X7
Br0942_aegncnkn-1,X13
Br0942_aegnocem-1,X3
Br0942_aehbahli-1,DISCARD
Br0942_aehcbgdf-1,X10
Br0942_aehcnhoa-1,X2
Br0942_aeheeohp-1,DISCARD
Br0942_aehfcnna-1,X3
Br0942_aehkblee-1,X3
Br0942_aehkmipg-1,X3
Br0942_aehlkadh-1,X1
Br0942_aeidokek-1,X3
Br0942_aeiillcf-1,X2
Br0942_aeiioeoc-1,X10
Br0942_aeilpdbf-1,X10
Br0942_aeinnefi-1,X10
Br0942_aejbbgjk-1,X3
Br0942_aejbficp-1,X1
Br0942_aejbpmbe-1,X3
Br0942_aejddojh-1,X2
Br0942_aejkjngl-1,X7
Br0942_aejoaiog-1,X7
Br0942_aekaiffj-1,X13
Br0942_aekajoek-1,X10
Br0942_aekcbohk-1,X10
Br0942_aekfbcel-1,X13
Br0942_aekfidgi-1,X7
Br0942_aekflgkf-1,X7
Br0942_aekjebkb-1,X4
Br0942_aekldpio-1,X13
Br0942_aeklkghb-1,X1
Br0942_aekpnjde-1,X1
Br0942_aelkhioa-1,X1
Br0942_aellghcg-1,X3
Br0942_aelpielk-1,X7
Br0942_aelpjlgk-1,X7
Br0942_aemaidbb-1,X7
Br0942_aemaooln-1,X3
Br0942_aemlggdj-1,X3
Br0942_aenceccm-1,DISCARD
Br0942_aeneamoe-1,X14
Br0942_aeneefdk-1,X1
Br0942_aenenpbp-1,X7
Br0942_aenfmdea-1,X13
Br0942_aengnain-1,X3
Br0942_aenibhfa-1,X1
Br0942_aenifhck-1,DISCARD
Br0942_aenkalga-1,DISCARD
Br0942_aenppbmk-1,DISCARD
Br0942_aeoanceo-1,X10
Br0942_aeojbpan-1,X3
Br0942_aeolojdc-1,X7
Br0942_aeomjahi-1,X10
Br0942_aeonebmo-1,X13
Br0942_aeonlbkd-1,X2
Br0942_aeoobkli-1,X1
Br0942_aepdijhm-1,X10
Br0942_aepdpgpj-1,X10
Br0942_aepgejig-1,X11
Br0942_aeplinci-1,X4
Br0942_aeplldcf-1,X1
Br0942_afabhakp-1,X3
Br0942_afacnbfi-1,X3
Br0942_afagiheg-1,X3
Br0942_afahmmgn-1,X10
Br0942_afaibngk-1,X13
Br0942_afajmnad-1,X13
Br0942_afakepci-1,X7
Br0942_afbcbhip-1,X4
Br0942_afbeiknh-1,X2
Br0942_afbgdcmj-1,X1
Br0942_afbkhejl-1,X2
Br0942_afboceme-1,X10
Br0942_afbpiool-1,X4
Br0942_afbpobjp-1,X3
Br0942_afcalbmg-1,X7
Br0942_afccfmho-1,X10
Br0942_afccindn-1,X3
Br0942_afchhobl-1,X7
Br0942_afcipail-1,X1
Br0942_afclcpid-1,X7
Br0942_afdgfpeg-1,X10
Br0942_afdleaai-1,X10
Br0942_afdoijip-1,X3
Br0942_afedejoc-1,X13
Br0942_afeeaacf-1,X1
Br0942_afegjdnd-1,X10
Br0942_afenimog-1,DISCARD
Br0942_affaljaa-1,X3
Br0942_affggllg-1,X10
Br0942_affgpija-1,X10
Br0942_affihjgi-1,X10
Br0942_affjagbn-1,X3
Br0942_affkdkia-1,X7
Br0942_afflefio-1,X1
Br0942_affpjhbi-1,X5
Br0942_afgccmda-1,X5
Br0942_afggaeep-1,X10
Br0942_afgibmfk-1,X3
Br0942_afgmnmdg-1,X1
Br0942_afgodfkc-1,X10
Br0942_afgojjgi-1,X10
Br0942_afhjgjkp-1,X3
Br0942_afhkjpdb-1,X5
Br0942_afhlmbhf-1,X1
Br0942_afhmjglb-1,DISCARD
Br0942_afhneohl-1,X4
Br0942_aficpimn-1,X10
Br0942_afifhaka-1,X7
Br0942_afihfjdn-1,X1
Br0942_afihjffc-1,X3
Br0942_afijfpja-1,X4
Br0942_afijgbeb-1,X10
Br0942_afimaopa-1,X10
Br0942_afimmiae-1,X1
Br0942_afimohlg-1,X5
Br0942_afiofokj-1,X3
Br0942_afippgad-1,X11
Br0942_afjdghdl-1,X10
Br0942_afjffnfe-1,DISCARD
Br0942_afjghojj-1,X2
Br0942_afjhgcom-1,X3
Br0942_afjicnhp-1,X3
Br0942_afjijgbl-1,X4
Br0942_afjlhkll-1,X2
Br0942_afjlihmo-1,X13
Br0942_afjllkid-1,X3
Br0942_afjmbjck-1,X3
Br0942_afjpfagl-1,X3
Br0942_afkafabl-1,X3
Br0942_afkfhdhj-1,DISCARD
Br0942_afkhenhi-1,X3
Br0942_afkkkplc-1,X10
Br0942_afkkokpf-1,X13
Br0942_afklgnoo-1,X4
Br0942_afknemgp-1,X13
Br0942_afkpcdjf-1,X13
Br0942_afkpjhhl-1,X3
Br0942_aflhojim-1,X3
Br0942_afllgieh-1,X4
Br0942_aflnnkpf-1,DISCARD
Br0942_aflpaino-1,DISCARD
Br0942_afmdbabg-1,X3
Br0942_afmgjepa-1,X10
Br0942_afmnneng-1,X3
Br0942_afngahcn-1,X3
Br0942_afnggpni-1,X3
Br0942_afnjjoni-1,X3
Br0942_afnjnilk-1,X10
Br0942_afoccakk-1,X10
Br0942_afodpiec-1,X10
Br0942_afoffgco-1,X3
Br0942_afogkkkh-1,X3
Br0942_afolkege-1,X3
Br0942_afpclaac-1,X10
Br0942_afpkocjp-1,X4
Br0942_agachfad-1,X3
Br0942_agahbble-1,X3
Br0942_agahcmid-1,X3
Br0942_agaikejp-1,X1
Br0942_agaoeiec-1,X10
Br0942_agbapgig-1,X7
Br0942_agbccneh-1,X3
Br0942_agbcilii-1,X3
Br0942_agbdfkik-1,X10
Br0942_agbehdhf-1,X3
Br0942_agbehedk-1,X10
Br0942_agbfemch-1,X4
Br0942_agbhnkdc-1,X1
Br0942_agbobdjf-1,X3
Br0942_agcakico-1,DISCARD
Br0942_agccnbed-1,X5
Br0942_agcffmfi-1,X10
Br0942_agcfgamf-1,X1
Br0942_agcfjfic-1,X10
Br0942_agckaeck-1,X10
Br0942_agclljca-1,X10
Br0942_agcnmeaj-1,X10
Br0942_agdbhknd-1,X7
Br0942_agdcklid-1,X10
Br0942_agdoddmd-1,X3
Br0942_agdpchng-1,X1
Br0942_agdpemja-1,X1
Br0942_ageamcal-1,X1
Br0942_agecjade-1,X3
Br0942_agedcddg-1,X10
Br0942_agedeikk-1,X10
Br0942_agegglmd-1,X10
Br0942_agejjfko-1,X2
Br0942_agenoohe-1,X7
Br0942_agfafpdl-1,X7
Br0942_agfbbplk-1,DISCARD
Br0942_agfcload-1,X7
Br0942_agfcphdh-1,X2
Br0942_agfkddcn-1,X3
Br0942_agfnldlj-1,DISCARD
Br0942_aggadpif-1,X3
Br0942_aggajifg-1,X7
Br0942_aggbblph-1,X1
Br0942_agghnhpd-1,X2
Br0942_aggjikbn-1,X1
Br0942_aggopace-1,X3
Br0942_aghaoimp-1,X4
Br0942_aghbfbka-1,X3
Br0942_aghiohnc-1,X3
Br0942_aghnpdob-1,X3
Br0942_aghpgahl-1,X10
Br0942_aghplfbn-1,X5
Br0942_aghppnlc-1,X7
Br0942_agifonlc-1,X7
Br0942_agihcohc-1,X4
Br0942_agikiffg-1,X10
Br0942_agiknbej-1,X14
Br0942_agimmgbm-1,X2
Br0942_agiojodm-1,X10
Br0942_agipjobf-1,X3
Br0942_agjfdhcm-1,X3
Br0942_agjjknbc-1,X3
Br0942_agjjmioa-1,X3
Br0942_agjpmnne-1,X10
Br0942_agkadkjo-1,X3
Br0942_agkajgbo-1,X3
Br0942_agkbknlf-1,X7
Br0942_agkghjob-1,X3
Br0942_agklfeee-1,X3
Br0942_agkomgng-1,X3
Br0942_agkpafko-1,X3
Br0942_agkpgdbc-1,X3
Br0942_agldplik-1,X3
Br0942_aglgpcfo-1,X4
Br0942_aglkdidf-1,X3
Br0942_agllnldc-1,X7
Br0942_aglnlmed-1,X4
Br0942_agmealah-1,X2
Br0942_agmjddil-1,X5
Br0942_agmjmhgj-1,X7
Br0942_agmnmnei-1,X3
Br0942_agmpdcln-1,X7
Br0942_agnfeihm-1,X5
Br0942_agngpapb-1,X3
Br0942_agnhjbcn-1,X3
Br0942_agnhmbdi-1,X3
Br0942_agoaedah-1,X7
Br0942_agofeijj-1,DISCARD
Br0942_agofpmgd-1,X10
Br0942_agohfiph-1,X10
Br0942_agojbbek-1,X14
Br0942_agomhgad-1,X10
Br0942_agonleel-1,DISCARD
Br0942_agpafmal-1,X1
Br0942_agpcoodp-1,X3
Br0942_agpgbebf-1,X3
Br0942_agpocnmi-1,X10
Br0942_agppjokk-1,X10
Br0942_ahaaoanh-1,X3
Br0942_ahaebiha-1,X3
Br0942_ahahoodc-1,X7
Br0942_ahailcbm-1,X1
Br0942_ahakfoga-1,X5
Br0942_ahakfoil-1,X10
Br0942_ahalkocb-1,X3
Br0942_ahamcjbc-1,X3
Br0942_ahbdkdcj-1,X10
Br0942_ahbhakkb-1,X3
Br0942_ahblplfi-1,X3
Br0942_ahbpibhg-1,X5
Br0942_ahbplnab-1,X10
Br0942_ahcfiiao-1,X10
Br0942_ahcgggcp-1,X3
Br0942_ahcianlm-1,X3
Br0942_ahcommpp-1,X10
Br0942_ahcpjdce-1,X2
Br0942_ahcpnkpe-1,X1
Br0942_ahdfdnjl-1,X7
Br0942_ahdhhpag-1,X7
Br0942_ahdieffl-1,X4
Br0942_ahdlfiph-1,X3
Br0942_ahdmcbid-1,X10
Br0942_ahdpoeeh-1,X1
Br0942_ahebfplh-1,X7
Br0942_ahecdaap-1,X10
Br0942_ahedcfko-1,X10
Br0942_ahedloko-1,X7
Br0942_ahejlojm-1,X10
Br0942_ahfaihlp-1,X10
Br0942_ahfkhlfj-1,X10
Br0942_ahfmipgj-1,X3
Br0942_ahfpmjlb-1,X1
Br0942_ahgaeaai-1,X1
Br0942_ahgbffii-1,X5
Br0942_ahgciagm-1,X3
Br0942_ahgefoah-1,X7
Br0942_ahgimndm-1,X1
Br0942_ahgjbhac-1,X1
Br0942_ahgjffkf-1,X7
Br0942_ahgjhkeh-1,X3
Br0942_ahglgkjb-1,X3
Br0942_ahgnmjbe-1,X1
Br0942_ahhaamhl-1,X1
Br0942_ahhhhhdg-1,X10
Br0942_ahhhmope-1,X1
Br0942_ahhjdlij-1,X10
Br0942_ahhmpnhc-1,X7
Br0942_ahidfflm-1,DISCARD
Br0942_ahidhagj-1,DISCARD
Br0942_ahifiebh-1,X3
Br0942_ahifkgio-1,X3
Br0942_ahijcmhj-1,X3
Br0942_ahikbngj-1,X7
Br0942_ahilbcgl-1,X3
Br0942_ahinbgmi-1,X3
Br0942_ahiomnga-1,X1
Br0942_ahjegcgg-1,X13
Br0942_ahjfamni-1,X4
Br0942_ahjgiole-1,X2
Br0942_ahjgkhih-1,X3
Br0942_ahjhkefc-1,X3
Br0942_ahjhnkgo-1,X2
Br0942_ahkafiaf-1,X3
Br0942_ahkealea-1,X10
Br0942_ahkedikm-1,X10
Br0942_ahkeedfg-1,X5
Br0942_ahkfipmk-1,X2
Br0942_ahkhighe-1,X2
Br0942_ahkijkoa-1,X2
Br0942_ahkkgmli-1,X2
Br0942_ahkkjbem-1,X3
Br0942_ahknolep-1,DISCARD
Br0942_ahkockkn-1,X3
Br0942_ahkpegim-1,X1
Br0942_ahkpgaop-1,X7
Br0942_ahlacmfi-1,X7
Br0942_ahleghcl-1,X2
Br0942_ahlgfoci-1,X1
Br0942_ahlonjcj-1,X5
Br0942_ahmcfalg-1,X1
Br0942_ahmdllda-1,X10
Br0942_ahmedlli-1,X5
Br0942_ahmejdcj-1,X5
Br0942_ahmgolod-1,X2
Br0942_ahmhdjcj-1,DISCARD
Br0942_ahmjchdm-1,X3
Br0942_ahmkdpjj-1,X10
Br0942_ahmohlje-1,X2
Br0942_ahnafejk-1,X3
Br0942_ahnbepni-1,X7
Br0942_ahnfkbnm-1,X3
Br0942_ahnfljah-1,X10
Br0942_ahnjnhlo-1,DISCARD
Br0942_ahnlmlgd-1,X10
