sample_id	variable	N	total_cells	prop_of_sample_cells
Br3974	outlier_negCodeword	14	20701	0.00067629583111927
Br3974	outlier_depr	343	20701	0.0165692478624221
Br3974	outlier_unassigned	20	20701	0.000966136901598957
Br3974	outlier_any_neg	720	20701	0.0347809284575624
Br3974	falsenuc	222	20701	0.0107241196077484
Br5367	outlier_negProbe	144	16758	0.00859291084854995
Br5367	outlier_negCodeword	1	16758	5.96729920038191e-05
Br5367	outlier_depr	256	16758	0.0152762859529777
Br5367	outlier_unassigned	14	16758	0.000835421888053467
Br5367	outlier_any_neg	384	16758	0.0229144289294665
Br5367	falsenuc	2385	16758	0.142320085929109
Br5368	outlier_negProbe	352	16170	0.0217687074829932
Br5368	outlier_negCodeword	16	16170	0.000989486703772418
Br5368	outlier_depr	304	16170	0.0188002473716759
Br5368	outlier_unassigned	11	16170	0.000680272108843537
Br5368	outlier_any_neg	529	16170	0.0327149041434756
Br5368	falsenuc	1954	16170	0.120841063698207
Br5415	outlier_negProbe	315	23975	0.0131386861313869
Br5415	outlier_negCodeword	26	23975	0.0010844629822732
Br5415	outlier_depr	487	23975	0.0203128258602711
Br5415	outlier_unassigned	22	23975	0.000917622523461939
Br5415	outlier_any_neg	712	23975	0.0296976016684046
Br5415	falsenuc	19	23975	0.000792492179353493
Br5426	outlier_negProbe	190	14134	0.0134427621338616
Br5426	outlier_negCodeword	13	14134	0.000919767935474742
Br5426	outlier_depr	246	14134	0.0174048393943682
Br5426	outlier_unassigned	22	14134	0.00155653035234187
Br5426	outlier_any_neg	441	14134	0.0312013584264893
Br5426	falsenuc	53	14134	0.00374982312155087
Br5460	outlier_negProbe	142	16276	0.00872450233472598
Br5460	outlier_negCodeword	21	16276	0.00129024330302286
Br5460	outlier_depr	307	16276	0.0188621282870484
Br5460	outlier_unassigned	18	16276	0.00110592283116245
Br5460	outlier_any_neg	447	16276	0.0274637503072008
Br5460	falsenuc	239	16276	0.0146841975915458
Br5529	outlier_negProbe	282	13382	0.0210730832461515
Br5529	outlier_negCodeword	1	13382	7.47272455537289e-05
Br5529	outlier_depr	168	13382	0.0125541772530265
Br5529	outlier_unassigned	8	13382	0.000597817964429831
Br5529	outlier_any_neg	409	13382	0.0305634434314751
Br5529	falsenuc	14	13382	0.0010461814377522
Br5634	outlier_negProbe	123	11377	0.010811285927749
Br5634	outlier_negCodeword	12	11377	0.00105475960270722
Br5634	outlier_depr	163	11377	0.0143271512701064
Br5634	outlier_unassigned	13	11377	0.00114265623626615
Br5634	outlier_any_neg	303	11377	0.0266326799683572
Br5634	falsenuc	28	11377	0.00246110573965017
Br5854	outlier_negProbe	355	26985	0.0131554567352233
Br5854	outlier_negCodeword	12	26985	0.000444691495275153
Br5854	outlier_depr	426	26985	0.0157865480822679
Br5854	outlier_unassigned	23	26985	0.000852325365944043
Br5854	outlier_any_neg	767	26985	0.0284231980730035
Br5854	falsenuc	2205	26985	0.0817120622568093
Br5854L	outlier_negProbe	207	9009	0.022977022977023
Br5854L	outlier_negCodeword	9	9009	0.000999000999000999
Br5854L	outlier_depr	151	9009	0.0167610167610168
Br5854L	outlier_unassigned	16	9009	0.00177600177600178
Br5854L	outlier_any_neg	317	9009	0.0351870351870352
Br5854L	falsenuc	904	9009	0.1003441003441
Br5941	outlier_negProbe	290	13774	0.0210541600116161
Br5941	outlier_negCodeword	7	13774	0.000508203862349354
Br5941	outlier_depr	287	13774	0.0208363583563235
Br5941	outlier_unassigned	14	13774	0.00101640772469871
Br5941	outlier_any_neg	532	13774	0.0386234935385509
Br5941	falsenuc	58	13774	0.00421083200232322
Br6085	outlier_negProbe	151	8480	0.0178066037735849
Br6085	outlier_negCodeword	6	8480	0.000707547169811321
Br6085	outlier_depr	146	8480	0.0172169811320755
Br6085	outlier_unassigned	8	8480	0.000943396226415094
Br6085	outlier_any_neg	301	8480	0.0354952830188679
Br6085	falsenuc	33	8480	0.00389150943396226
Br6098	outlier_negProbe	205	17644	0.011618680571299
Br6098	outlier_negCodeword	8	17644	0.000453411924733621
Br6098	outlier_depr	226	17644	0.0128088868737248
Br6098	outlier_unassigned	16	17644	0.000906823849467241
Br6098	outlier_any_neg	492	17644	0.0278848333711177
Br6098	falsenuc	884	17644	0.0501020176830651
Br6119	outlier_negProbe	250	9454	0.0264438332980749
Br6119	outlier_negCodeword	1	9454	0.0001057753331923
Br6119	outlier_depr	145	9454	0.0153374233128834
Br6119	outlier_unassigned	4	9454	0.000423101332769198
Br6119	outlier_any_neg	367	9454	0.0388195472815739
Br6119	falsenuc	53	9454	0.00560609265919188
Br6222	outlier_negProbe	334	15669	0.021315974216606
Br6222	outlier_negCodeword	15	15669	0.000957304231284702
Br6222	outlier_depr	296	15669	0.0188908034973515
Br6222	outlier_unassigned	27	15669	0.00172314761631246
Br6222	outlier_any_neg	589	15669	0.037590146148446
Br6222	falsenuc	75	15669	0.00478652115642351
Br6263	outlier_negProbe	139	18515	0.00750742641101809
Br6263	outlier_negCodeword	12	18515	0.000648123143397246
Br6263	outlier_depr	284	18515	0.0153389143937348
Br6263	outlier_unassigned	25	18515	0.00135025654874426
Br6263	outlier_any_neg	455	18515	0.0245746691871456
Br6263	falsenuc	457	18515	0.0246826897110451
Br6297	outlier_negProbe	217	14760	0.0147018970189702
Br6297	outlier_negCodeword	2	14760	0.00013550135501355
Br6297	outlier_depr	108	14760	0.00731707317073171
Br6297	outlier_unassigned	4	14760	0.0002710027100271
Br6297	outlier_any_neg	307	14760	0.0207994579945799
Br6297	falsenuc	157	14760	0.0106368563685637
Br6423	outlier_negProbe	213	14246	0.0149515653516777
Br6423	outlier_negCodeword	9	14246	0.000631756282465253
Br6423	outlier_depr	297	14246	0.0208479573213534
Br6423	outlier_unassigned	17	14246	0.00119331742243437
Br6423	outlier_any_neg	463	14246	0.0325003509757125
Br6423	falsenuc	519	14246	0.0364312789554963
Br6476	outlier_negProbe	425	16214	0.0262119156284692
Br6476	outlier_negCodeword	16	16214	0.000986801529542371
Br6476	outlier_depr	284	16214	0.0175157271493771
Br6476	outlier_unassigned	17	16214	0.00104847662513877
Br6476	outlier_any_neg	551	16214	0.0339829776736154
Br6476	falsenuc	1103	16214	0.0680276304428272
Br6538	outlier_negProbe	347	15080	0.0230106100795756
Br6538	outlier_negCodeword	16	15080	0.00106100795755968
Br6538	outlier_depr	277	15080	0.018368700265252
Br6538	outlier_unassigned	12	15080	0.000795755968169761
Br6538	outlier_any_neg	552	15080	0.036604774535809
Br6538	falsenuc	762	15080	0.0505305039787798
