rn	clust_M0_lam0.2_k25_kgeom30_res1	clust_M0_lam0.2_k50_kgeom30_res1	clust_M0_lam0.2_k100_kgeom30_res1
Br5529_abbnpaip-1	X3	X3	X3
Br5529_abboimdb-1	X20	X18	X15
Br5529_abcibcil-1	X3	X3	X3
Br5529_abcpppmh-1	X1	X1	X1
Br5529_abdcpide-1	X10	X12	X8
Br5529_abdjdjgd-1	X8	X7	X7
Br5529_abdmifee-1	X18	X4	X6
Br5529_abdmnnkd-1	X3	X4	X3
Br5529_abdpgjjc-1	X17	X11	X9
Br5529_abejpafi-1	X3	X4	X3
Br5529_abemhhcc-1	X1	X1	X1
Br5529_abfflifh-1	X14	X4	X6
Br5529_abfkgnll-1	X3	X1	X3
Br5529_abflfdlk-1	X5	X5	X4
Br5529_abgeheag-1	X8	X7	X6
Br5529_abggigli-1	X8	X7	X7
Br5529_abghbkej-1	X1	X1	X1
Br5529_abghlonc-1	X6	X4	X6
Br5529_abgpfdcd-1	X23	X16	X18
Br5529_abhbmcfb-1	X14	X4	X3
Br5529_abhfghaa-1	X3	X4	X3
Br5529_abhnigkp-1	X1	X1	X1
Br5529_abhofbjp-1	X17	X11	X10
Br5529_abihiepm-1	X11	X4	X6
Br5529_abimdhbd-1	X3	X3	X3
Br5529_abjanfme-1	X6	X6	X5
Br5529_abjgnceh-1	X18	X17	X6
Br5529_abjgnpcp-1	X14	X4	X11
Br5529_abjhmnhg-1	X5	X5	X4
Br5529_abjnkeii-1	X14	X11	X10
Br5529_abkejjdc-1	X3	X4	X3
Br5529_abkianfj-1	X5	X5	X10
Br5529_ablagjjl-1	X14	X4	X11
Br5529_abldpcgf-1	X3	X4	X3
Br5529_ablfianj-1	X3	X18	X15
Br5529_ablgglha-1	X9	X9	X14
Br5529_ablgjemd-1	X2	X2	X2
Br5529_ablmbnho-1	X8	X7	X7
Br5529_ablmomje-1	X17	X11	X10
Br5529_ablngoic-1	X18	X17	X6
Br5529_ablolfai-1	X21	X4	X10
Br5529_abmagich-1	X3	X3	X3
Br5529_abmcpkki-1	X2	X2	X2
Br5529_abmipmbf-1	X3	X4	X3
Br5529_abmlnock-1	X16	X12	X15
Br5529_abnalpjd-1	X14	X11	X10
Br5529_abnglljb-1	X14	X4	X3
Br5529_abnkdcbd-1	X17	X11	X10
Br5529_abnkkgkj-1	X8	X7	X7
Br5529_abnklped-1	X8	X7	X7
Br5529_abnkpneb-1	X14	X12	X15
Br5529_abnpliog-1	X14	X4	X3
Br5529_aboacgop-1	X6	X2	X2
Br5529_aboplhcd-1	X14	X11	X10
Br5529_abpcakle-1	X8	X9	X6
Br5529_abpdijbh-1	X8	X4	X6
Br5529_abpoalof-1	X8	X7	X7
Br5529_abpofflc-1	X9	X9	X14
Br5529_acadaefo-1	X2	X2	X2
Br5529_acaeijea-1	X5	X12	X8
Br5529_acapkgmo-1	X8	X7	X6
Br5529_acapoocb-1	X12	X11	X10
Br5529_acbdehhl-1	X17	X11	X10
Br5529_acbidini-1	X14	X4	X11
Br5529_acbmglij-1	X14	X4	X11
Br5529_accbeekl-1	X12	X11	X10
Br5529_accckoon-1	X20	X4	X15
Br5529_accfajal-1	X14	X4	X11
Br5529_accfcgii-1	X12	X18	X10
Br5529_acckabeb-1	X5	X5	X4
Br5529_acdcomhp-1	X3	X1	X1
Br5529_acdnmdgb-1	X1	X1	X1
Br5529_acebeaad-1	X2	X2	X2
Br5529_acedmejo-1	X14	X4	X11
Br5529_acehmdmm-1	X11	X4	X3
Br5529_acehnmdg-1	X3	X4	X6
Br5529_acejggnm-1	X5	X5	X4
Br5529_acfbchbg-1	X17	X11	X10
Br5529_acffdien-1	X4	X2	X2
Br5529_acfmdacl-1	X17	X11	X10
Br5529_acfmlehm-1	X15	X14	X12
Br5529_acfmmlia-1	X19	X6	X2
Br5529_acganfde-1	X19	X2	X2
Br5529_acggclfi-1	X19	X6	X2
Br5529_acgkcljo-1	X1	X1	X1
Br5529_acgmmnhb-1	X8	X7	X7
Br5529_achbfpdp-1	X2	X2	X2
Br5529_achfplio-1	X1	X1	X1
Br5529_achiooao-1	X1	X1	X1
Br5529_acioggbp-1	X3	X4	X6
Br5529_acjfjenb-1	X1	X4	X6
Br5529_acjfjgce-1	X17	X11	X10
Br5529_ackcdlie-1	X17	X11	X10
Br5529_ackdmnah-1	X2	X2	X2
Br5529_ackfcekl-1	X14	X4	X11
Br5529_ackfhmmn-1	X2	X2	X2
Br5529_ackhfkpd-1	X23	X16	X18
Br5529_ackiffhc-1	X2	X2	X2
Br5529_ackmhmgf-1	X2	X2	X2
Br5529_aclmhlpa-1	X1	X1	X1
Br5529_aclnaobi-1	X2	X2	X2
Br5529_aclocpmo-1	X21	X11	X10
Br5529_acmefnlk-1	X1	X1	X1
Br5529_acncifec-1	X3	X4	X3
Br5529_acnglfbk-1	X12	X11	X10
Br5529_acnkkpkl-1	X17	X11	X10
Br5529_acnlgdhk-1	X12	X11	X10
Br5529_acnmepam-1	X20	X4	X3
Br5529_acobfgjh-1	X14	X4	X6
Br5529_acobocbd-1	X17	X11	X10
Br5529_acpajonl-1	X23	X16	X18
Br5529_acpdilhk-1	X8	X7	X6
Br5529_acpekoek-1	X8	X7	X7
Br5529_adaimjgi-1	X17	X11	X10
Br5529_adakmmli-1	X8	X7	X7
Br5529_adalbpna-1	X3	X4	X3
Br5529_adaoddjp-1	X3	X4	X3
Br5529_adaopaah-1	X9	X4	X6
Br5529_adbclabe-1	X23	X4	X3
Br5529_adbdhkia-1	X3	X1	X3
Br5529_adbmocpb-1	X5	X1	X1
Br5529_adbpfbao-1	X3	X4	X3
Br5529_adcagfhj-1	X12	X11	X9
Br5529_adccpcec-1	X10	X12	X8
Br5529_adcghnnc-1	X12	X11	X9
Br5529_adcikjeh-1	X12	X4	X11
Br5529_adcjjnbn-1	X13	X4	X11
Br5529_adcmngba-1	X12	X11	X9
Br5529_adcopgof-1	X1	X1	X1
Br5529_addameel-1	X3	X3	X3
Br5529_addaoccd-1	X12	X11	X16
Br5529_addhbjej-1	X12	X11	X16
Br5529_adebnbia-1	X12	X11	X11
Br5529_adfcnpbf-1	X10	X12	X8
Br5529_adfijbdp-1	X13	X11	X16
Br5529_adggfknh-1	X21	X19	X16
Br5529_adgkddfi-1	X21	X19	X16
Br5529_adgkinbb-1	X21	X19	X16
Br5529_adglicaj-1	X13	X11	X16
Br5529_adgmiapb-1	X3	X3	X3
Br5529_adhbblah-1	X3	X3	X3
Br5529_adhchinh-1	X3	X3	X3
Br5529_adhkolan-1	X1	X1	X1
Br5529_adhljfle-1	X8	X7	X6
Br5529_adiakhcl-1	X10	X12	X19
Br5529_adipmjoa-1	X5	X5	X4
Br5529_adjdadpn-1	X3	X1	X3
Br5529_adjlcokb-1	X19	X6	X5
Br5529_adjmmkcn-1	X18	X17	X6
Br5529_adjofmnn-1	X8	X7	X7
Br5529_adkfjoji-1	X3	X3	X3
Br5529_adkgapnm-1	X20	X18	X15
Br5529_adkgfabn-1	X16	X12	X8
Br5529_adkloiim-1	X3	X3	X3
Br5529_adkohgkh-1	X9	X3	X3
Br5529_adldfpng-1	X3	X3	X15
Br5529_adlfhkda-1	X20	X18	X15
Br5529_adlnakbb-1	X7	X8	X3
Br5529_admigene-1	X3	X1	X1
Br5529_admjhmhh-1	X3	X4	X3
Br5529_admpjoce-1	X3	X3	X3
Br5529_adnmbpje-1	X3	X4	X3
Br5529_adnogoko-1	X21	X19	X16
Br5529_adoajilb-1	X2	X2	X2
Br5529_adobedka-1	X20	X4	X3
Br5529_adocolhp-1	X1	X1	X1
Br5529_adoihgel-1	X19	X6	X5
Br5529_adokkgok-1	X19	X6	X5
Br5529_adondgig-1	X19	X6	X5
Br5529_adonggfk-1	X19	X6	X5
Br5529_adpafojf-1	X19	X6	X5
Br5529_adpcdcbc-1	X19	X6	X5
Br5529_adppecfo-1	X19	X6	X5
Br5529_aeadifbd-1	X19	X6	X5
Br5529_aeaegakj-1	X19	X6	X5
Br5529_aebdkknh-1	X19	X6	X5
Br5529_aebenngg-1	X19	X6	X5
Br5529_aebfnacd-1	X19	X6	X5
Br5529_aebpjcbp-1	X19	X6	X5
Br5529_aecebhfh-1	X19	X6	X5
Br5529_aecebloi-1	X19	X6	X5
Br5529_aeceiegh-1	X14	X4	X6
Br5529_aecfkbdp-1	X16	X12	X8
Br5529_aeciaklh-1	X1	X1	X1
Br5529_aecjokgp-1	X8	X17	X6
Br5529_aecpkaio-1	X14	X4	X6
Br5529_aedakfoj-1	X8	X7	X7
Br5529_aedbgood-1	X2	X2	X2
Br5529_aedfdgeo-1	X8	X7	X6
Br5529_aedkilca-1	X6	X6	X5
Br5529_aeeehonk-1	X20	X12	X8
Br5529_aeeooffi-1	X2	X2	X2
Br5529_aefeajli-1	X2	X2	X2
Br5529_aefkamhc-1	X8	X4	X6
Br5529_aeggdbbh-1	X1	X1	X1
Br5529_aegomkec-1	X5	X5	X4
Br5529_aehbplbg-1	X6	X6	X5
Br5529_aehjbdde-1	X8	X7	X7
Br5529_aehodakn-1	X8	X7	X7
Br5529_aehpgloc-1	X19	X6	X5
Br5529_aeifofon-1	X19	X6	X5
Br5529_aeihckib-1	X19	X6	X5
Br5529_aeilfhgh-1	X19	X6	X5
Br5529_aeimdkia-1	X19	X6	X5
Br5529_aejdmgio-1	X19	X6	X5
Br5529_aejdnima-1	X18	X17	X6
Br5529_aejenlkh-1	X1	X1	X1
Br5529_aejgaoec-1	X8	X7	X6
Br5529_aekdpoln-1	X14	X4	X6
Br5529_aelgmdnm-1	X8	X7	X7
Br5529_aelmhmpj-1	X14	X11	X10
Br5529_aelpkpof-1	X17	X11	X10
Br5529_aencoapf-1	X19	X6	X5
Br5529_aendmkpd-1	X1	X1	X1
Br5529_aeninfbo-1	X5	X5	X4
Br5529_aenllakm-1	X1	X1	X1
Br5529_aennmgpg-1	X19	X6	X5
Br5529_aenpmice-1	X2	X2	X2
Br5529_aeocffio-1	X16	X12	X8
Br5529_aeoflobl-1	X3	X4	X3
Br5529_aeokmljl-1	X7	X4	X6
Br5529_aepgocic-1	X8	X7	X7
Br5529_aephakcj-1	X3	X4	X3
Br5529_aepkefop-1	X16	X12	X8
Br5529_afacjkib-1	X3	X3	X3
Br5529_afahlnnm-1	X8	X7	X7
Br5529_afbdbeml-1	X5	X5	X4
Br5529_afbfmebm-1	X6	X6	X5
Br5529_afbijcjm-1	X1	X1	X1
Br5529_afdkcleb-1	X8	X7	X7
Br5529_afdkkcko-1	X3	X4	X6
Br5529_afdpdelg-1	X20	X12	X15
Br5529_afdpeanf-1	X1	X1	X1
Br5529_afeaknmj-1	X1	X1	X1
Br5529_afedpafa-1	X1	X1	X1
Br5529_afemepal-1	X3	X4	X6
Br5529_afenppcd-1	X14	X11	X10
Br5529_affehfbm-1	X17	X11	X10
Br5529_affmaejn-1	X14	X4	X6
Br5529_affmkfna-1	X5	X5	X4
Br5529_affndpeb-1	X17	X11	X10
Br5529_afgadljk-1	X27	X22	X21
Br5529_afgdbbja-1	X3	X4	X3
Br5529_afghkbae-1	X27	X8	X6
Br5529_afgoblnk-1	X8	X7	X7
Br5529_afgpdegh-1	X10	X12	X8
Br5529_afhcdbjo-1	X2	X2	X2
Br5529_afhchami-1	X1	X1	X1
Br5529_afhcmnom-1	X5	X1	X1
Br5529_afhepbfj-1	X17	X11	X10
Br5529_afhkmhag-1	X2	X2	X2
Br5529_afhljclf-1	X8	X4	X6
Br5529_afhpainm-1	X5	X5	X4
Br5529_afidbhlk-1	X8	X7	X7
Br5529_afienmll-1	X18	X12	X8
Br5529_afinemhk-1	X9	X4	X6
Br5529_afipgnlk-1	X14	X4	X11
Br5529_afjbgici-1	X14	X4	X11
Br5529_afkigcnk-1	X1	X1	X1
Br5529_aflkgdje-1	X11	X11	X9
Br5529_aflomolb-1	X11	X11	X9
Br5529_afnfhbgc-1	X14	X4	X11
Br5529_afnjbpoi-1	X9	X9	X6
Br5529_afnkecfk-1	X11	X11	X9
Br5529_afnklplg-1	X11	X11	X16
Br5529_afnlilbh-1	X3	X3	X3
Br5529_afnmpdgk-1	X8	X7	X6
Br5529_afnnfnpm-1	X9	X9	X6
Br5529_afoboipm-1	X9	X9	X6
Br5529_afoiijde-1	X3	X4	X15
Br5529_afojhabc-1	X11	X11	X9
Br5529_afojhlkl-1	X11	X10	X3
Br5529_afokdlji-1	X17	X11	X16
Br5529_afopkgga-1	X10	X12	X8
Br5529_afpbdkmh-1	X8	X7	X7
Br5529_afpdffae-1	X17	X11	X10
Br5529_afpkpgep-1	X3	X3	X3
Br5529_afpojgfc-1	X14	X4	X3
Br5529_agaeenfn-1	X14	X4	X11
Br5529_agagmdmn-1	X14	X4	X11
Br5529_agaigcbj-1	X20	X12	X15
Br5529_agamdjdn-1	X5	X5	X4
Br5529_agapamfa-1	X8	X7	X6
Br5529_agbajfol-1	X7	X4	X6
Br5529_agbgdnjd-1	X8	X7	X7
Br5529_agbljpnn-1	X11	X1	X3
Br5529_agchmodf-1	X3	X4	X3
Br5529_agckgfhb-1	X14	X4	X6
Br5529_agcldcik-1	X17	X11	X10
Br5529_agdcnlda-1	X8	X4	X6
Br5529_agdmgcfo-1	X8	X7	X7
Br5529_agebhnem-1	X17	X11	X10
Br5529_agecljpn-1	X14	X4	X6
Br5529_agelpola-1	X8	X7	X7
Br5529_agfgpemm-1	X5	X5	X4
Br5529_agfkbhba-1	X17	X11	X10
Br5529_agfpcjcm-1	X8	X7	X7
Br5529_agfpfgeo-1	X18	X17	X6
Br5529_agfplblk-1	X6	X6	X5
Br5529_aggebbib-1	X19	X6	X5
Br5529_aggichbi-1	X6	X6	X5
Br5529_aggjkaje-1	X8	X7	X7
Br5529_aggpdmck-1	X8	X7	X7
Br5529_aghlmokf-1	X14	X4	X11
Br5529_agidlmpk-1	X14	X4	X3
Br5529_agiecehc-1	X14	X4	X6
Br5529_agifjdlm-1	X8	X7	X7
Br5529_agihmgjf-1	X2	X2	X2
Br5529_agijlpep-1	X17	X11	X10
Br5529_agiohabn-1	X17	X11	X10
Br5529_agioldma-1	X14	X4	X11
Br5529_agjblikp-1	X17	X11	X10
Br5529_agjhogfa-1	X9	X4	X6
Br5529_agjiliep-1	X7	X8	X15
Br5529_agjjokgf-1	X16	X12	X8
Br5529_agjjppde-1	X2	X2	X2
Br5529_agkabedk-1	X8	X7	X7
Br5529_agkodbbh-1	X8	X4	X6
Br5529_agldpjbj-1	X7	X4	X6
Br5529_agleedeg-1	X9	X3	X3
Br5529_aglifhpp-1	X1	X1	X1
Br5529_aglimmfj-1	X5	X5	X4
Br5529_aglljgkn-1	X1	X1	X1
Br5529_agmjdloe-1	X19	X2	X2
Br5529_agmjmiil-1	X19	X6	X13
Br5529_agmkmhgc-1	X19	X2	X2
Br5529_agnambie-1	X19	X6	X5
Br5529_agnidlni-1	X19	X2	X5
Br5529_agnifage-1	X19	X2	X2
Br5529_agnipkai-1	X19	X2	X5
Br5529_agobdiin-1	X2	X2	X2
Br5529_agogahih-1	X8	X7	X7
Br5529_agoladgj-1	X14	X4	X11
Br5529_agopnpbo-1	X8	X7	X7
Br5529_agpaeoma-1	X10	X12	X8
Br5529_agpglmke-1	X14	X4	X15
Br5529_agpnpmng-1	X17	X11	X10
Br5529_ahafgjna-1	X17	X11	X10
Br5529_ahagkeik-1	X5	X5	X4
Br5529_ahajpbfd-1	X18	X7	X6
Br5529_ahanobmo-1	X14	X4	X6
Br5529_ahbebbhf-1	X9	X9	X6
Br5529_ahcceaen-1	X14	X4	X6
Br5529_ahccidbn-1	X8	X7	X7
Br5529_ahcfefoa-1	X14	X4	X11
Br5529_ahclopei-1	X14	X4	X11
Br5529_ahdjdpdm-1	X1	X1	X1
Br5529_ahdkjaci-1	X8	X7	X7
Br5529_ahdndobi-1	X2	X4	X3
Br5529_aheggpej-1	X2	X2	X6
Br5529_aheppgfm-1	X2	X2	X2
Br5529_ahfbhjna-1	X3	X4	X3
Br5529_ahfeodka-1	X3	X4	X3
Br5529_ahffnjgb-1	X3	X4	X3
Br5529_ahflccop-1	X9	X7	X6
Br5529_ahgddmfo-1	X17	X11	X9
Br5529_ahgkoicb-1	X8	X7	X6
Br5529_ahgoamoh-1	X12	X11	X10
Br5529_ahhbenco-1	X8	X7	X7
Br5529_ahhlpapj-1	X2	X2	X2
Br5529_ahiifeab-1	X6	X6	X5
Br5529_ahjbjfke-1	X21	X4	X11
Br5529_ahjmogei-1	X11	X4	X3
Br5529_ahkccoll-1	X1	X1	X1
Br5529_ahkenihn-1	X14	X4	X11
Br5529_ahklcabl-1	X2	X2	X2
Br5529_ahkmocaa-1	X3	X4	X3
Br5529_ahlmdjmp-1	X10	X18	X15
Br5529_ahmeoffo-1	X17	X11	X10
Br5529_ahmfliip-1	X16	X12	X8
Br5529_ahmiddmo-1	X9	X9	X14
Br5529_ahnekoka-1	X3	X4	X3
Br5529_ahnimham-1	X19	X6	X5
Br5529_ahnlpjaj-1	X19	X6	X13
Br5529_aholncpj-1	X18	X10	X8
Br5529_ahpdcgkm-1	X8	X7	X7
Br5529_ahpebbmk-1	X11	X10	X3
Br5529_ahpfdaio-1	X19	X6	X5
Br5529_ahphknla-1	X19	X6	X5
Br5529_ahpiplem-1	X19	X6	X5
Br5529_aibajcoj-1	X2	X2	X2
Br5529_aibincpk-1	X5	X5	X4
Br5529_aibjnlgc-1	X9	X9	X14
Br5529_aibllhid-1	X18	X17	X6
Br5529_aibmnobp-1	X8	X7	X7
Br5529_aiccmion-1	X8	X7	X7
Br5529_aicdjbpg-1	X1	X1	X1
Br5529_aicenenp-1	X19	X6	X5
Br5529_aichkphd-1	X5	X5	X4
Br5529_aichlhif-1	X3	X3	X3
Br5529_aiddgemh-1	X10	X10	X8
Br5529_aidhfgad-1	X3	X3	X3
Br5529_aidhocib-1	X19	X6	X5
Br5529_aidhofgm-1	X15	X14	X12
Br5529_aidienmk-1	X19	X6	X5
Br5529_aidjeiho-1	X19	X6	X5
Br5529_aidjlnbj-1	X19	X6	X5
Br5529_aieancng-1	X19	X6	X5
Br5529_aiedonbm-1	X19	X6	X5
Br5529_aieglghj-1	X19	X6	X5
Br5529_aiekgklg-1	X19	X6	X5
Br5529_aiekgklj-1	X19	X6	X5
Br5529_aiekhbmb-1	X19	X6	X5
Br5529_aifdnede-1	X19	X6	X5
Br5529_aifgbllb-1	X19	X6	X5
Br5529_aifhnchd-1	X19	X6	X5
Br5529_aifkiigh-1	X19	X6	X5
Br5529_aifkonfm-1	X19	X6	X5
Br5529_aifpkmbl-1	X19	X6	X13
Br5529_aigbbidc-1	X19	X6	X5
Br5529_aigdadea-1	X19	X6	X5
Br5529_aiggddfd-1	X19	X6	X13
Br5529_aigiabkg-1	X19	X6	X5
Br5529_aihgimjh-1	X19	X6	X5
Br5529_aihiebhn-1	X19	X6	X5
Br5529_aihmdomk-1	X19	X6	X5
Br5529_aiicfcio-1	X19	X6	X5
Br5529_aiichnjp-1	X2	X2	X2
Br5529_aiiolgmk-1	X2	X2	X2
Br5529_aijanhbm-1	X9	X4	X6
Br5529_aijdjpph-1	X14	X4	X15
Br5529_aijdmioo-1	X14	X11	X10
Br5529_aijpleoe-1	X8	X4	X6
Br5529_aikanicc-1	X2	X2	X2
Br5529_aikfebkf-1	X2	X2	X2
Br5529_aikoecig-1	X14	X4	X3
Br5529_ailaipco-1	X14	X4	X3
Br5529_ailcknjp-1	X10	X12	X8
Br5529_ailgdjfi-1	X1	X4	X3
Br5529_ailhlgao-1	X2	X2	X2
Br5529_aimnhllk-1	X6	X6	X5
Br5529_ainakihb-1	X8	X7	X6
Br5529_ainioffd-1	X18	X17	X6
Br5529_aioecdoh-1	X3	X4	X3
Br5529_aioehaka-1	X12	X11	X9
Br5529_aiohcnco-1	X20	X18	X15
Br5529_aiophijh-1	X3	X4	X11
Br5529_aioppnfe-1	X15	X14	X12
Br5529_aipcaffn-1	X16	X12	X8
Br5529_ajaebend-1	X12	X11	X9
Br5529_ajaeiebf-1	X10	X12	X8
Br5529_ajagcjnf-1	X13	X19	X9
Br5529_ajakegbn-1	X1	X1	X1
Br5529_ajalabkm-1	X14	X4	X6
Br5529_ajbaadeb-1	X11	X10	X3
Br5529_ajbhnokn-1	X4	X15	X13
Br5529_ajbpjphc-1	X3	X3	X3
Br5529_ajcdblag-1	X3	X3	X3
Br5529_ajceokin-1	X16	X12	X8
Br5529_ajcmhcle-1	X20	X12	X15
Br5529_ajdbioic-1	X8	X7	X7
Br5529_ajdccmko-1	X1	X1	X1
Br5529_ajdgmcha-1	X8	X4	X6
Br5529_ajdnjcpi-1	X1	X1	X1
Br5529_ajejkggh-1	X2	X2	X2
Br5529_ajfgioad-1	X8	X7	X7
Br5529_ajfhhadm-1	X8	X7	X7
Br5529_ajflmmob-1	X19	X6	X5
Br5529_ajgaicij-1	X19	X6	X5
Br5529_ajgdmcgj-1	X19	X6	X5
Br5529_ajgjdbkg-1	X10	X10	X8
Br5529_ajhailfe-1	X19	X6	X5
Br5529_ajhedloc-1	X19	X6	X5
Br5529_ajhkocmm-1	X19	X6	X5
Br5529_ajhoebhe-1	X3	X4	X3
Br5529_ajhphaic-1	X21	X11	X16
Br5529_ajibjdcg-1	X3	X3	X3
Br5529_ajieakgh-1	X3	X3	X3
Br5529_ajiikheo-1	X2	X2	X2
Br5529_ajjeemlp-1	X3	X4	X3
Br5529_ajjimggo-1	X2	X2	X2
Br5529_ajjlkldk-1	X2	X2	X2
Br5529_ajkbbddn-1	X14	X4	X11
Br5529_ajlbbbjm-1	X14	X4	X3
Br5529_ajlbfmmm-1	X3	X4	X3
Br5529_ajlbmapg-1	X9	X4	X6
Br5529_ajlbpddm-1	X14	X4	X11
Br5529_ajlcdhfn-1	X11	X1	X9
Br5529_ajledjfi-1	X3	X4	X3
Br5529_ajlhpeme-1	X12	X11	X10
Br5529_ajloflgn-1	X3	X4	X3
Br5529_ajlonaje-1	X12	X11	X11
Br5529_ajmedblb-1	X14	X4	X11
Br5529_ajmelbed-1	X3	X4	X3
Br5529_ajmolhbo-1	X14	X4	X11
Br5529_ajmpnelf-1	X1	X1	X1
Br5529_ajnbigne-1	X12	X11	X10
Br5529_ajnefpmn-1	X8	X7	X7
Br5529_ajnkfoop-1	X3	X3	X3
Br5529_ajobmhbn-1	X23	X16	X18
Br5529_ajojnndk-1	X10	X12	X8
Br5529_ajongbjj-1	X17	X11	X10
Br5529_ajoogmje-1	X3	X4	X11
Br5529_ajopfenj-1	X2	X2	X2
Br5529_ajpbfeih-1	X9	X4	X6
Br5529_ajpbhlnl-1	X14	X4	X1
Br5529_ajpblaib-1	X8	X7	X6
Br5529_akahkihn-1	X5	X5	X4
Br5529_akaigdok-1	X6	X6	X5
Br5529_akammpdk-1	X8	X7	X6
Br5529_akbbchbj-1	X17	X11	X10
Br5529_akbbgbdj-1	X20	X18	X15
Br5529_akbcanpk-1	X2	X2	X2
Br5529_akbepcfd-1	X14	X4	X11
Br5529_akbklflo-1	X8	X7	X7
Br5529_akbmiebj-1	X23	X16	X18
Br5529_akccndhi-1	X21	X11	X10
Br5529_akcdnoko-1	X2	X2	X2
Br5529_akchnfhg-1	X8	X7	X7
Br5529_akdcgmfj-1	X17	X11	X10
Br5529_akdnidok-1	X1	X1	X1
Br5529_akdpbpjl-1	X3	X4	X3
Br5529_akedildc-1	X15	X14	X12
Br5529_akeebgab-1	X2	X2	X2
Br5529_akfobjaj-1	X11	X11	X9
Br5529_akgbbmin-1	X2	X2	X2
Br5529_akhbbfff-1	X3	X3	X3
Br5529_akhbmfkh-1	X10	X18	X15
Br5529_akhffbpd-1	X12	X11	X10
Br5529_akhkjioh-1	X10	X18	X8
Br5529_akiddigf-1	X14	X4	X11
Br5529_akigdgcl-1	X12	X11	X10
Br5529_akigpimd-1	X14	X4	X11
Br5529_akinjclb-1	X9	X4	X6
Br5529_akioneek-1	X1	X1	X1
Br5529_akipnmai-1	X13	X13	X9
Br5529_akjhhdag-1	X13	X11	X9
Br5529_akjkdfjm-1	X13	X11	X9
Br5529_akjlagla-1	X12	X11	X10
Br5529_akjlkcka-1	X12	X11	X10
Br5529_aklaadik-1	X12	X11	X10
Br5529_akladakn-1	X12	X11	X10
Br5529_akldafdb-1	X5	X5	X4
Br5529_aklioifm-1	X9	X4	X6
Br5529_aklioocp-1	X8	X7	X6
Br5529_aklkmgae-1	X2	X2	X2
Br5529_aklknmai-1	X8	X7	X6
Br5529_aklpbded-1	X8	X7	X6
Br5529_akmalahc-1	X2	X2	X2
Br5529_akmbpiaj-1	X9	X9	X14
Br5529_akmhcgmb-1	X21	X19	X16
Br5529_akmmhenn-1	X3	X3	X3
Br5529_akneicbp-1	X3	X3	X3
Br5529_aknhgfhk-1	X26	X21	X19
Br5529_aknpgbni-1	X26	X21	X19
Br5529_akoaeano-1	X3	X3	X3
Br5529_akollbni-1	X26	X21	X19
Br5529_akpbnaed-1	X3	X3	X3
Br5529_akpfcakc-1	X3	X3	X3
Br5529_akplgoch-1	X3	X3	X3
Br5529_akpnbbpl-1	X26	X21	X19
Br5529_akpolojg-1	X3	X3	X3
Br5529_aladlebm-1	X26	X21	X19
Br5529_albgeabg-1	X26	X18	X19
Br5529_albigkna-1	X3	X3	X3
Br5529_albpcjmh-1	X3	X3	X15
Br5529_alcbkhhj-1	X3	X3	X3
Br5529_alckjkkl-1	X26	X21	X19
Br5529_alclmpdc-1	X2	X2	X2
Br5529_aldbkjim-1	X6	X6	X5
Br5529_aldcibao-1	X3	X3	X3
Br5529_aldfgpmb-1	X21	X19	X16
Br5529_aldgdggb-1	X21	X19	X16
Br5529_aldgkodn-1	X26	X21	X19
Br5529_aldlpfni-1	X26	X21	X19
Br5529_aldpbdop-1	X3	X3	X3
Br5529_aleobahg-1	X26	X21	X19
Br5529_alfddini-1	X26	X21	X19
Br5529_alfgghpo-1	X3	X3	X3
Br5529_alfhjjpf-1	X3	X4	X3
Br5529_algapcmc-1	X20	X18	X15
Br5529_algddcpm-1	X14	X4	X11
Br5529_alghjoja-1	X2	X2	X2
Br5529_algkcmcl-1	X2	X2	X5
Br5529_algmmkdn-1	X2	X2	X2
Br5529_alhbjebj-1	X2	X2	X2
Br5529_alhchjae-1	X14	X11	X9
Br5529_alhgfpjl-1	X3	X4	X3
Br5529_alhjajac-1	X1	X1	X1
Br5529_alhpdpch-1	X1	X1	X1
Br5529_alijojfe-1	X3	X4	X3
Br5529_alionmne-1	X8	X7	X6
Br5529_aljbkihk-1	X2	X2	X2
Br5529_aljlbngg-1	X18	X17	X6
Br5529_aljoncne-1	X8	X7	X7
Br5529_alkbmcpc-1	X10	X12	X8
Br5529_alkgknaf-1	X6	X6	X5
Br5529_alkhmoae-1	X2	X2	X2
Br5529_alkjbiln-1	X14	X4	X11
Br5529_alkmbgbg-1	X2	X2	X2
Br5529_alkpccmd-1	X3	X3	X3
Br5529_alldablf-1	X11	X4	X3
Br5529_almacknl-1	X3	X4	X15
Br5529_almbbgfa-1	X2	X2	X2
Br5529_almhdfgo-1	X1	X1	X1
Br5529_alnamfig-1	X1	X1	X1
Br5529_alneiajp-1	X17	X11	X9
Br5529_alofcdff-1	X17	X11	X10
Br5529_aloippie-1	X17	X11	X9
Br5529_alommlek-1	X1	X1	X1
Br5529_alpflban-1	X8	X7	X7
Br5529_alpgaeak-1	X9	X7	X6
Br5529_amahhclo-1	X1	X1	X1
Br5529_amaifffe-1	X3	X4	X3
Br5529_ambglkil-1	X16	X12	X8
Br5529_ambjdkpm-1	X17	X11	X10
Br5529_ambjgomp-1	X2	X2	X2
Br5529_ambjhblk-1	X10	X12	X8
Br5529_ambodecc-1	X5	X5	X4
Br5529_ambonmel-1	X3	X4	X3
Br5529_amcahchi-1	X6	X6	X5
