rn	clust_M0_lam0.2_k25_kgeom30_res1	clust_M0_lam0.2_k50_kgeom30_res1	clust_M0_lam0.2_k100_kgeom30_res1
Br0942_aeadliia-1	X1	X1	X1
Br0942_aeahcljh-1	X10	X10	X8
Br0942_aeajfnkm-1	X5	X5	X4
Br0942_aeajnlig-1	X10	X10	X8
Br0942_aeaomoig-1	X9	X9	X14
Br0942_aeapaffh-1	X10	X10	X8
Br0942_aebagkan-1	X3	X3	X3
Br0942_aebbkalg-1	X3	X3	X3
Br0942_aebdnjgo-1	X3	X3	X3
Br0942_aebfjhpk-1	X10	X12	X8
Br0942_aecaokkh-1	X10	X12	X8
Br0942_aecgmdjn-1	X1	X1	X1
Br0942_aecgodin-1	X2	X2	X2
Br0942_aeckpdif-1	X3	X3	X3
Br0942_aecljeib-1	X6	X6	X5
Br0942_aeclklac-1	X6	X6	X5
Br0942_aedceedk-1	X12	X11	X16
Br0942_aeddpfjf-1	X14	X7	X6
Br0942_aedfjcdn-1	X3	X3	X3
Br0942_aedhlmkf-1	X9	X4	X3
Br0942_aedilodm-1	X16	X12	X8
Br0942_aedkhhbl-1	X16	X12	X8
Br0942_aeekblkn-1	X16	X12	X8
Br0942_aeekfpon-1	X12	X11	X16
Br0942_aeekmhbm-1	X1	X1	X1
Br0942_aeelcpgf-1	X18	X17	X6
Br0942_aeendnbf-1	X10	X12	X8
Br0942_aefcjiji-1	X9	X9	X14
Br0942_aefgddjd-1	X20	X18	X15
Br0942_aefgjhmn-1	X5	X11	X10
Br0942_aefjfjam-1	X5	X5	X4
Br0942_aefpgkgh-1	X5	X11	X10
Br0942_aegbeild-1	X17	X11	X10
Br0942_aegdbnjc-1	X9	X9	X6
Br0942_aegfdomk-1	X18	X17	X6
Br0942_aegjdbcc-1	X17	X11	X10
Br0942_aehcegjp-1	X8	X7	X7
Br0942_aehibafe-1	X13	X11	X10
Br0942_aehidnmh-1	X14	X4	X3
Br0942_aehjjdeg-1	X1	X1	X1
