gene	prop_nonzero	cluster	source
DIRAS2	0.0183129855715871	Astro_1	Otero22
DIRAS2	0.194860663772581	ACHE_SERT_SLC17A6_Npeps	Otero22
DIRAS2	0.0743897393462971	Astro_2_APOE	Otero22
DIRAS2	0.0468688460023631	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
DIRAS2	0.171320277953253	LC.1	Otero22
DIRAS2	0.0269581703993364	Oligo_2	Otero22
DIRAS2	0.0986277873070326	Oligo_3	Otero22
DIRAS2	0.0378919860627178	Vascular	Otero22
DNAJA1	0.0265793019630638	Oligo_1	Otero22
DNAJA1	0.105530891601924	Astro_1	Otero22
DNAJA1	0.579260607758017	ACHE_SERT_SLC17A6_Npeps	Otero22
DNAJA1	0.354530409598676	Astro_2_APOE	Otero22
DNAJA1	0.187967703820402	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
DNAJA1	0.688692356285534	LC.1	Otero22
DNAJA1	0.141604455504207	Oligo_2	Otero22
DNAJA1	0.33516295025729	Oligo_3	Otero22
DNAJA1	0.221254355400697	Vascular	Otero22
DNAJB6	0.0259452033078813	Oligo_1	Otero22
DNAJB6	0.103588605253422	Astro_1	Otero22
DNAJB6	0.528917518554824	ACHE_SERT_SLC17A6_Npeps	Otero22
DNAJB6	0.30992966487381	Astro_2_APOE	Otero22
DNAJB6	0.185998424576605	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
DNAJB6	0.606948831332912	LC.1	Otero22
DNAJB6	0.138819765375044	Oligo_2	Otero22
DNAJB6	0.336363636363636	Oligo_3	Otero22
DNAJB6	0.179878048780488	Vascular	Otero22
DNAJC6	0.0328410261829903	Oligo_1	Otero22
DNAJC6	0.120699223085461	Astro_1	Otero22
DNAJC6	0.694510572748915	ACHE_SERT_SLC17A6_Npeps	Otero22
DNAJC6	0.380347538270583	Astro_2_APOE	Otero22
DNAJC6	0.264671130366286	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
DNAJC6	0.77991156032849	LC.1	Otero22
DNAJC6	0.18858869534305	Oligo_2	Otero22
DNAJC6	0.456260720411664	Oligo_3	Otero22
DNAJC6	0.201655052264808	Vascular	Otero22
EEF1A1	0.261407170598959	Oligo_1	Otero22_York21
EEF1A1	0.719015908250093	Astro_1	Otero22_York21
EEF1A1	0.950987256686739	ACHE_SERT_SLC17A6_Npeps	Otero22_York21
EEF1A1	0.952999586263964	Astro_2_APOE	Otero22_York21
EEF1A1	0.650945254037022	ACHE_SERT_SLC17A6_ADCYAP1	Otero22_York21
EEF1A1	0.947567909033481	LC.1	Otero22_York21
EEF1A1	0.825512501481218	Oligo_2	Otero22_York21
EEF1A1	0.95180102915952	Oligo_3	Otero22_York21
EEF1A1	0.848867595818815	Vascular	Otero22_York21
EGFR	0.00517847235065656	Oligo_1	York21
EGFR	0.0297817240103589	Astro_1	York21
EGFR	0.0775101526396863	ACHE_SERT_SLC17A6_Npeps	York21
EGFR	0.0851055026892842	Astro_2_APOE	York21
EGFR	0.0209728239464356	ACHE_SERT_SLC17A6_ADCYAP1	York21
EGFR	0.057991156032849	LC.1	York21
EGFR	0.0237587391871075	Oligo_2	York21
EGFR	0.0305317324185249	Oligo_3	York21
