LCDomainDef	brnum	anno	N	LCdomainCellNum	prop_of_LCdomain_cells
wd_domain12412	Br1556	LCNE	57	194	0.293814432989691
wd_domain12412	Br1556	Mixed Neuropept.	31	194	0.15979381443299
wd_domain12412	Br1556	OPC	11	194	0.0567010309278351
wd_domain12412	Br1556	Astro_FGFR3	42	194	0.216494845360825
wd_domain12412	Br1556	Endothelium	18	194	0.0927835051546392
wd_domain12412	Br1556	Microglia	15	194	0.077319587628866
wd_domain12412	Br1556	Oligodendrocytes	4	194	0.0206185567010309
wd_domain12412	Br1556	Inhib_5HTR2A	3	194	0.0154639175257732
wd_domain12412	Br1556	Vasc. SMC	8	194	0.0412371134020619
wd_domain12412	Br1556	Blood	2	194	0.0103092783505155
wd_domain12412	Br1556	DISCARD	2	194	0.0103092783505155
wd_domain12412	Br1556	Astro_RYR3	1	194	0.00515463917525773
wd_domain12412	Br1691L	DISCARD	18	481	0.0374220374220374
wd_domain12412	Br1691L	Astro_FGFR3	69	481	0.143451143451143
wd_domain12412	Br1691L	Mixed Neuropept.	36	481	0.0748440748440749
wd_domain12412	Br1691L	Endothelium	46	481	0.0956340956340956
wd_domain12412	Br1691L	Oligodendrocytes	24	481	0.0498960498960499
wd_domain12412	Br1691L	LCNE	191	481	0.397089397089397
wd_domain12412	Br1691L	OPC	23	481	0.0478170478170478
wd_domain12412	Br1691L	Microglia	8	481	0.0166320166320166
wd_domain12412	Br1691L	NK_and_T_cells	4	481	0.00831600831600832
wd_domain12412	Br1691L	Inhib_5HTR2A	6	481	0.0124740124740125
wd_domain12412	Br1691L	Astro_RYR3	26	481	0.0540540540540541
wd_domain12412	Br1691L	Vasc. SMC	18	481	0.0374220374220374
wd_domain12412	Br1691L	Blood	12	481	0.024948024948025
wd_domain12412	Br1706	LCNE	622	1460	0.426027397260274
wd_domain12412	Br1706	Microglia	131	1460	0.0897260273972603
wd_domain12412	Br1706	Astro_RYR3	43	1460	0.0294520547945206
wd_domain12412	Br1706	Oligodendrocytes	87	1460	0.0595890410958904
wd_domain12412	Br1706	Astro_FGFR3	196	1460	0.134246575342466
wd_domain12412	Br1706	Endothelium	103	1460	0.0705479452054795
wd_domain12412	Br1706	OPC	71	1460	0.0486301369863014
wd_domain12412	Br1706	DISCARD	21	1460	0.0143835616438356
wd_domain12412	Br1706	Vasc. SMC	42	1460	0.0287671232876712
wd_domain12412	Br1706	Blood	79	1460	0.0541095890410959
wd_domain12412	Br1706	Mixed Neuropept.	43	1460	0.0294520547945206
wd_domain12412	Br1706	NK_and_T_cells	13	1460	0.0089041095890411
wd_domain12412	Br1706	Inhib_5HTR2A	3	1460	0.00205479452054795
wd_domain12412	Br1706	Astro_SERPINA3	1	1460	0.000684931506849315
wd_domain12412	Br1706	Ependyma	2	1460	0.00136986301369863
wd_domain12412	Br1706	Serotonergic	3	1460	0.00205479452054795
wd_domain12412	Br1884	Mixed Neuropept.	55	1342	0.040983606557377
wd_domain12412	Br1884	Endothelium	141	1342	0.105067064083458
wd_domain12412	Br1884	OPC	81	1342	0.0603576751117735
wd_domain12412	Br1884	Astro_RYR3	30	1342	0.022354694485842
wd_domain12412	Br1884	LCNE	610	1342	0.454545454545455
wd_domain12412	Br1884	Astro_FGFR3	161	1342	0.119970193740686
wd_domain12412	Br1884	Oligodendrocytes	55	1342	0.040983606557377
wd_domain12412	Br1884	Microglia	79	1342	0.0588673621460507
wd_domain12412	Br1884	DISCARD	32	1342	0.0238450074515648
wd_domain12412	Br1884	Vasc. SMC	37	1342	0.0275707898658718
wd_domain12412	Br1884	NK_and_T_cells	7	1342	0.00521609538002981
wd_domain12412	Br1884	Blood	43	1342	0.0320417287630402
wd_domain12412	Br1884	Serotonergic	7	1342	0.00521609538002981
wd_domain12412	Br1884	Ependyma	1	1342	0.000745156482861401
wd_domain12412	Br1884	Inhib_5HTR2A	2	1342	0.0014903129657228
wd_domain12412	Br1884	Astro_SERPINA3	1	1342	0.000745156482861401
wd_domain12412	Br2305	LCNE	28	51	0.549019607843137
wd_domain12412	Br2305	Astro_FGFR3	10	51	0.196078431372549
wd_domain12412	Br2305	Endothelium	5	51	0.0980392156862745
wd_domain12412	Br2305	OPC	3	51	0.0588235294117647
wd_domain12412	Br2305	Vasc. SMC	2	51	0.0392156862745098
wd_domain12412	Br2305	Oligodendrocytes	2	51	0.0392156862745098
wd_domain12412	Br2305	Mixed Neuropept.	1	51	0.0196078431372549
wd_domain12412	Br2305L	Oligodendrocytes	13	190	0.068421052631579
wd_domain12412	Br2305L	OPC	8	190	0.0421052631578947
wd_domain12412	Br2305L	Astro_FGFR3	28	190	0.147368421052632
wd_domain12412	Br2305L	Blood	11	190	0.0578947368421053
wd_domain12412	Br2305L	LCNE	78	190	0.410526315789474
wd_domain12412	Br2305L	Vasc. SMC	3	190	0.0157894736842105
wd_domain12412	Br2305L	DISCARD	3	190	0.0157894736842105
wd_domain12412	Br2305L	Mixed Neuropept.	19	190	0.1
wd_domain12412	Br2305L	Endothelium	15	190	0.0789473684210526
wd_domain12412	Br2305L	Microglia	6	190	0.0315789473684211
wd_domain12412	Br2305L	Inhib_5HTR2A	5	190	0.0263157894736842
wd_domain12412	Br2305L	Astro_RYR3	1	190	0.00526315789473684
wd_domain12412	Br2582	Astro_FGFR3	132	949	0.139093782929399
wd_domain12412	Br2582	Endothelium	77	949	0.0811380400421496
wd_domain12412	Br2582	LCNE	420	949	0.442571127502634
wd_domain12412	Br2582	Vasc. SMC	16	949	0.0168598524762908
wd_domain12412	Br2582	NK_and_T_cells	8	949	0.00842992623814542
wd_domain12412	Br2582	Mixed Neuropept.	29	949	0.0305584826132771
wd_domain12412	Br2582	DISCARD	18	949	0.0189673340358272
wd_domain12412	Br2582	Microglia	114	949	0.120126448893572
wd_domain12412	Br2582	Blood	24	949	0.0252897787144363
wd_domain12412	Br2582	OPC	32	949	0.0337197049525817
wd_domain12412	Br2582	Oligodendrocytes	51	949	0.053740779768177
wd_domain12412	Br2582	Astro_RYR3	21	949	0.0221285563751317
wd_domain12412	Br2582	Inhib_5HTR2A	1	949	0.00105374077976818
wd_domain12412	Br2582	Serotonergic	6	949	0.00632244467860906
wd_domain12412	Br3974	Astro_RYR3	180	3073	0.0585746827204686
wd_domain12412	Br3974	Blood	68	3073	0.022128213472177
wd_domain12412	Br3974	Endothelium	276	3073	0.0898145135047185
wd_domain12412	Br3974	Mixed Neuropept.	89	3073	0.0289619264562317
wd_domain12412	Br3974	LCNE	1182	3073	0.384640416531077
wd_domain12412	Br3974	Vasc. SMC	97	3073	0.0315652456882525
wd_domain12412	Br3974	Microglia	186	3073	0.0605271721444842
wd_domain12412	Br3974	Astro_FGFR3	395	3073	0.128538887081028
wd_domain12412	Br3974	OPC	149	3073	0.0484868206963879
wd_domain12412	Br3974	DISCARD	61	3073	0.0198503091441588
wd_domain12412	Br3974	Oligodendrocytes	335	3073	0.109013992840872
wd_domain12412	Br3974	NK_and_T_cells	23	3073	0.00748454279205988
wd_domain12412	Br3974	Inhib_5HTR2A	4	3073	0.00130165961601041
wd_domain12412	Br3974	Astro_SERPINA3	28	3073	0.00911161731207289
wd_domain12412	Br5367	LCNE	420	1419	0.295983086680761
wd_domain12412	Br5367	Mixed Neuropept.	153	1419	0.107822410147992
wd_domain12412	Br5367	Oligodendrocytes	164	1419	0.115574348132488
wd_domain12412	Br5367	Astro_FGFR3	178	1419	0.125440451021846
wd_domain12412	Br5367	Microglia	91	1419	0.0641296687808316
wd_domain12412	Br5367	Astro_RYR3	74	1419	0.0521494009866103
wd_domain12412	Br5367	Inhib_5HTR2A	7	1419	0.00493305144467935
wd_domain12412	Br5367	OPC	85	1419	0.0599013389711064
wd_domain12412	Br5367	Serotonergic	4	1419	0.00281888653981677
wd_domain12412	Br5367	Endothelium	104	1419	0.0732910500352361
wd_domain12412	Br5367	DISCARD	51	1419	0.0359408033826638
wd_domain12412	Br5367	Vasc. SMC	50	1419	0.0352360817477097
wd_domain12412	Br5367	NK_and_T_cells	9	1419	0.00634249471458774
wd_domain12412	Br5367	Blood	28	1419	0.0197322057787174
wd_domain12412	Br5367	Astro_SERPINA3	1	1419	0.000704721634954193
wd_domain12412	Br5368	Astro_FGFR3	156	1165	0.133905579399142
wd_domain12412	Br5368	LCNE	406	1165	0.348497854077253
wd_domain12412	Br5368	Endothelium	74	1165	0.063519313304721
wd_domain12412	Br5368	OPC	55	1165	0.0472103004291846
wd_domain12412	Br5368	Microglia	103	1165	0.088412017167382
wd_domain12412	Br5368	Mixed Neuropept.	114	1165	0.0978540772532189
wd_domain12412	Br5368	Vasc. SMC	39	1165	0.0334763948497854
wd_domain12412	Br5368	DISCARD	36	1165	0.0309012875536481
wd_domain12412	Br5368	Oligodendrocytes	92	1165	0.0789699570815451
wd_domain12412	Br5368	Inhib_5HTR2A	14	1165	0.0120171673819743
wd_domain12412	Br5368	Astro_RYR3	48	1165	0.0412017167381974
wd_domain12412	Br5368	Serotonergic	2	1165	0.00171673819742489
wd_domain12412	Br5368	Blood	23	1165	0.0197424892703863
wd_domain12412	Br5368	NK_and_T_cells	3	1165	0.00257510729613734
wd_domain12412	Br5415	LCNE	197	551	0.357531760435572
wd_domain12412	Br5415	Astro_FGFR3	81	551	0.147005444646098
wd_domain12412	Br5415	Microglia	46	551	0.0834845735027223
wd_domain12412	Br5415	Endothelium	43	551	0.0780399274047187
wd_domain12412	Br5415	OPC	29	551	0.0526315789473684
wd_domain12412	Br5415	Mixed Neuropept.	65	551	0.117967332123412
wd_domain12412	Br5415	Oligodendrocytes	18	551	0.0326678765880218
wd_domain12412	Br5415	Inhib_5HTR2A	6	551	0.0108892921960073
wd_domain12412	Br5415	Astro_RYR3	20	551	0.0362976406533575
wd_domain12412	Br5415	DISCARD	20	551	0.0362976406533575
wd_domain12412	Br5415	Vasc. SMC	11	551	0.0199637023593466
wd_domain12412	Br5415	NK_and_T_cells	2	551	0.00362976406533575
wd_domain12412	Br5415	Blood	13	551	0.0235934664246824
wd_domain12412	Br5426	LCNE	744	2049	0.363103953147877
wd_domain12412	Br5426	Oligodendrocytes	211	2049	0.102977061981454
wd_domain12412	Br5426	Astro_RYR3	110	2049	0.0536847242557345
wd_domain12412	Br5426	Mixed Neuropept.	131	2049	0.063933626159102
wd_domain12412	Br5426	Microglia	108	2049	0.0527086383601757
wd_domain12412	Br5426	Blood	52	2049	0.025378233284529
wd_domain12412	Br5426	Endothelium	172	2049	0.0839433870180576
wd_domain12412	Br5426	Vasc. SMC	55	2049	0.0268423621278673
wd_domain12412	Br5426	OPC	133	2049	0.0649097120546608
wd_domain12412	Br5426	DISCARD	50	2049	0.0244021473889702
wd_domain12412	Br5426	Astro_FGFR3	257	2049	0.125427037579307
wd_domain12412	Br5426	Inhib_5HTR2A	4	2049	0.00195217179111762
wd_domain12412	Br5426	NK_and_T_cells	12	2049	0.00585651537335286
wd_domain12412	Br5426	Astro_SERPINA3	10	2049	0.00488042947779405
wd_domain12412	Br5460	Astro_FGFR3	258	1688	0.152843601895735
wd_domain12412	Br5460	Microglia	107	1688	0.0633886255924171
wd_domain12412	Br5460	LCNE	630	1688	0.373222748815166
wd_domain12412	Br5460	Endothelium	138	1688	0.0817535545023697
wd_domain12412	Br5460	Vasc. SMC	57	1688	0.0337677725118483
wd_domain12412	Br5460	Mixed Neuropept.	75	1688	0.0444312796208531
wd_domain12412	Br5460	Blood	84	1688	0.0497630331753555
wd_domain12412	Br5460	Oligodendrocytes	108	1688	0.0639810426540284
wd_domain12412	Br5460	NK_and_T_cells	36	1688	0.0213270142180095
wd_domain12412	Br5460	OPC	80	1688	0.04739336492891
wd_domain12412	Br5460	Astro_RYR3	75	1688	0.0444312796208531
wd_domain12412	Br5460	DISCARD	33	1688	0.0195497630331754
wd_domain12412	Br5460	Inhib_5HTR2A	4	1688	0.0023696682464455
wd_domain12412	Br5460	Ependyma	3	1688	0.00177725118483412
wd_domain12412	Br5529	Astro_FGFR3	219	1482	0.147773279352227
wd_domain12412	Br5529	LCNE	659	1482	0.444669365721997
wd_domain12412	Br5529	Mixed Neuropept.	34	1482	0.0229419703103914
wd_domain12412	Br5529	OPC	66	1482	0.0445344129554656
wd_domain12412	Br5529	Vasc. SMC	46	1482	0.0310391363022942
wd_domain12412	Br5529	Endothelium	148	1482	0.0998650472334683
wd_domain12412	Br5529	Microglia	24	1482	0.0161943319838057
wd_domain12412	Br5529	Oligodendrocytes	156	1482	0.105263157894737
wd_domain12412	Br5529	DISCARD	14	1482	0.00944669365721997
wd_domain12412	Br5529	Astro_RYR3	41	1482	0.0276653171390014
wd_domain12412	Br5529	NK_and_T_cells	10	1482	0.0067476383265857
wd_domain12412	Br5529	Blood	65	1482	0.043859649122807
wd_domain12412	Br5634	Astro_RYR3	34	770	0.0441558441558442
wd_domain12412	Br5634	LCNE	255	770	0.331168831168831
wd_domain12412	Br5634	Blood	14	770	0.0181818181818182
wd_domain12412	Br5634	Microglia	85	770	0.11038961038961
wd_domain12412	Br5634	Endothelium	45	770	0.0584415584415584
wd_domain12412	Br5634	DISCARD	41	770	0.0532467532467532
wd_domain12412	Br5634	Mixed Neuropept.	48	770	0.0623376623376623
wd_domain12412	Br5634	NK_and_T_cells	5	770	0.00649350649350649
wd_domain12412	Br5634	Vasc. SMC	18	770	0.0233766233766234
wd_domain12412	Br5634	Oligodendrocytes	74	770	0.0961038961038961
wd_domain12412	Br5634	Astro_FGFR3	103	770	0.133766233766234
wd_domain12412	Br5634	OPC	32	770	0.0415584415584416
wd_domain12412	Br5634	Inhib_5HTR2A	6	770	0.00779220779220779
wd_domain12412	Br5634	Serotonergic	7	770	0.00909090909090909
wd_domain12412	Br5634	Ependyma	3	770	0.0038961038961039
wd_domain12412	Br5854	Astro_RYR3	6	117	0.0512820512820513
wd_domain12412	Br5854	LCNE	34	117	0.290598290598291
wd_domain12412	Br5854	Endothelium	2	117	0.0170940170940171
wd_domain12412	Br5854	Astro_FGFR3	36	117	0.307692307692308
wd_domain12412	Br5854	Microglia	12	117	0.102564102564103
wd_domain12412	Br5854	Mixed Neuropept.	8	117	0.0683760683760684
wd_domain12412	Br5854	Vasc. SMC	3	117	0.0256410256410256
wd_domain12412	Br5854	Inhib_5HTR2A	1	117	0.00854700854700855
wd_domain12412	Br5854	DISCARD	1	117	0.00854700854700855
wd_domain12412	Br5854	Blood	3	117	0.0256410256410256
wd_domain12412	Br5854	Oligodendrocytes	6	117	0.0512820512820513
wd_domain12412	Br5854	OPC	3	117	0.0256410256410256
wd_domain12412	Br5854	Serotonergic	2	117	0.0170940170940171
wd_domain12412	Br5854L	Oligodendrocytes	92	1233	0.0746147607461476
wd_domain12412	Br5854L	Microglia	138	1233	0.111922141119221
wd_domain12412	Br5854L	OPC	48	1233	0.0389294403892944
wd_domain12412	Br5854L	Astro_FGFR3	160	1233	0.129764801297648
wd_domain12412	Br5854L	Astro_RYR3	103	1233	0.0835360908353609
wd_domain12412	Br5854L	Astro_SERPINA3	5	1233	0.0040551500405515
wd_domain12412	Br5854L	Endothelium	61	1233	0.0494728304947283
wd_domain12412	Br5854L	Mixed Neuropept.	76	1233	0.0616382806163828
wd_domain12412	Br5854L	LCNE	329	1233	0.266828872668289
wd_domain12412	Br5854L	Blood	30	1233	0.024330900243309
wd_domain12412	Br5854L	Vasc. SMC	36	1233	0.0291970802919708
wd_domain12412	Br5854L	DISCARD	127	1233	0.103000811030008
wd_domain12412	Br5854L	Inhib_5HTR2A	9	1233	0.0072992700729927
wd_domain12412	Br5854L	Serotonergic	12	1233	0.0097323600973236
wd_domain12412	Br5854L	NK_and_T_cells	6	1233	0.0048661800486618
wd_domain12412	Br5854L	Ependyma	1	1233	0.0008110300081103
wd_domain12412	Br5941	Astro_FGFR3	200	1276	0.156739811912226
wd_domain12412	Br5941	Microglia	122	1276	0.0956112852664577
wd_domain12412	Br5941	Blood	37	1276	0.0289968652037618
wd_domain12412	Br5941	LCNE	486	1276	0.380877742946708
wd_domain12412	Br5941	OPC	69	1276	0.0540752351097179
wd_domain12412	Br5941	Astro_RYR3	60	1276	0.0470219435736677
wd_domain12412	Br5941	Endothelium	99	1276	0.0775862068965517
wd_domain12412	Br5941	Oligodendrocytes	82	1276	0.0642633228840125
wd_domain12412	Br5941	Mixed Neuropept.	55	1276	0.0431034482758621
wd_domain12412	Br5941	Vasc. SMC	35	1276	0.0274294670846395
wd_domain12412	Br5941	Inhib_5HTR2A	5	1276	0.00391849529780564
wd_domain12412	Br5941	DISCARD	18	1276	0.0141065830721003
wd_domain12412	Br5941	Astro_SERPINA3	3	1276	0.00235109717868339
wd_domain12412	Br5941	NK_and_T_cells	5	1276	0.00391849529780564
wd_domain12412	Br6085	Oligodendrocytes	26	319	0.0815047021943574
wd_domain12412	Br6085	OPC	10	319	0.0313479623824451
wd_domain12412	Br6085	LCNE	116	319	0.363636363636364
wd_domain12412	Br6085	Vasc. SMC	13	319	0.0407523510971787
wd_domain12412	Br6085	Mixed Neuropept.	21	319	0.0658307210031348
wd_domain12412	Br6085	Astro_RYR3	14	319	0.0438871473354232
wd_domain12412	Br6085	DISCARD	8	319	0.0250783699059561
wd_domain12412	Br6085	Endothelium	27	319	0.0846394984326019
wd_domain12412	Br6085	Astro_FGFR3	43	319	0.134796238244514
wd_domain12412	Br6085	Microglia	26	319	0.0815047021943574
wd_domain12412	Br6085	Blood	4	319	0.0125391849529781
wd_domain12412	Br6085	Inhib_5HTR2A	6	319	0.0188087774294671
wd_domain12412	Br6085	Serotonergic	1	319	0.00313479623824451
wd_domain12412	Br6085	NK_and_T_cells	4	319	0.0125391849529781
wd_domain12412	Br6098	Endothelium	45	448	0.100446428571429
wd_domain12412	Br6098	Mixed Neuropept.	30	448	0.0669642857142857
wd_domain12412	Br6098	LCNE	158	448	0.352678571428571
wd_domain12412	Br6098	Blood	6	448	0.0133928571428571
wd_domain12412	Br6098	Oligodendrocytes	39	448	0.0870535714285714
wd_domain12412	Br6098	OPC	22	448	0.0491071428571429
wd_domain12412	Br6098	DISCARD	10	448	0.0223214285714286
wd_domain12412	Br6098	Astro_FGFR3	69	448	0.154017857142857
wd_domain12412	Br6098	Microglia	19	448	0.0424107142857143
wd_domain12412	Br6098	Vasc. SMC	14	448	0.03125
wd_domain12412	Br6098	NK_and_T_cells	6	448	0.0133928571428571
wd_domain12412	Br6098	Astro_RYR3	23	448	0.0513392857142857
wd_domain12412	Br6098	Inhib_5HTR2A	7	448	0.015625
wd_domain12412	Br6119	Endothelium	15	298	0.0503355704697987
wd_domain12412	Br6119	OPC	13	298	0.0436241610738255
wd_domain12412	Br6119	LCNE	171	298	0.573825503355705
wd_domain12412	Br6119	Microglia	16	298	0.0536912751677852
wd_domain12412	Br6119	Vasc. SMC	8	298	0.0268456375838926
wd_domain12412	Br6119	Astro_FGFR3	38	298	0.12751677852349
wd_domain12412	Br6119	Mixed Neuropept.	10	298	0.0335570469798658
wd_domain12412	Br6119	DISCARD	8	298	0.0268456375838926
wd_domain12412	Br6119	Astro_RYR3	2	298	0.00671140939597315
wd_domain12412	Br6119	Oligodendrocytes	6	298	0.0201342281879195
wd_domain12412	Br6119	Blood	3	298	0.0100671140939597
wd_domain12412	Br6119	Inhib_5HTR2A	1	298	0.00335570469798658
wd_domain12412	Br6119	NK_and_T_cells	6	298	0.0201342281879195
wd_domain12412	Br6119	Serotonergic	1	298	0.00335570469798658
wd_domain12412	Br6222	LCNE	414	1197	0.345864661654135
wd_domain12412	Br6222	DISCARD	63	1197	0.0526315789473684
wd_domain12412	Br6222	Astro_FGFR3	177	1197	0.147869674185464
wd_domain12412	Br6222	Microglia	80	1197	0.0668337510442774
wd_domain12412	Br6222	Endothelium	80	1197	0.0668337510442774
wd_domain12412	Br6222	Blood	21	1197	0.0175438596491228
wd_domain12412	Br6222	Mixed Neuropept.	106	1197	0.0885547201336675
wd_domain12412	Br6222	Vasc. SMC	42	1197	0.0350877192982456
wd_domain12412	Br6222	Inhib_5HTR2A	13	1197	0.0108604845446951
wd_domain12412	Br6222	Oligodendrocytes	97	1197	0.0810359231411863
wd_domain12412	Br6222	Astro_RYR3	49	1197	0.0409356725146199
wd_domain12412	Br6222	OPC	45	1197	0.037593984962406
wd_domain12412	Br6222	NK_and_T_cells	9	1197	0.0075187969924812
wd_domain12412	Br6222	Serotonergic	1	1197	0.000835421888053467
wd_domain12412	Br6263	Astro_FGFR3	244	2055	0.118734793187348
wd_domain12412	Br6263	LCNE	888	2055	0.432116788321168
wd_domain12412	Br6263	Blood	42	2055	0.0204379562043796
wd_domain12412	Br6263	Microglia	105	2055	0.0510948905109489
wd_domain12412	Br6263	OPC	115	2055	0.0559610705596107
wd_domain12412	Br6263	Endothelium	175	2055	0.0851581508515815
wd_domain12412	Br6263	Vasc. SMC	75	2055	0.0364963503649635
wd_domain12412	Br6263	Mixed Neuropept.	100	2055	0.048661800486618
wd_domain12412	Br6263	Astro_RYR3	61	2055	0.029683698296837
wd_domain12412	Br6263	Oligodendrocytes	179	2055	0.0871046228710462
wd_domain12412	Br6263	DISCARD	39	2055	0.018978102189781
wd_domain12412	Br6263	NK_and_T_cells	17	2055	0.00827250608272506
wd_domain12412	Br6263	Serotonergic	8	2055	0.00389294403892944
wd_domain12412	Br6263	Inhib_5HTR2A	5	2055	0.0024330900243309
wd_domain12412	Br6263	Ependyma	2	2055	0.00097323600973236
wd_domain12412	Br6297	Microglia	15	1108	0.0135379061371841
wd_domain12412	Br6297	Oligodendrocytes	102	1108	0.092057761732852
wd_domain12412	Br6297	Astro_RYR3	30	1108	0.0270758122743682
wd_domain12412	Br6297	Endothelium	122	1108	0.110108303249097
wd_domain12412	Br6297	Mixed Neuropept.	37	1108	0.0333935018050542
wd_domain12412	Br6297	LCNE	437	1108	0.394404332129964
wd_domain12412	Br6297	Astro_FGFR3	212	1108	0.191335740072202
wd_domain12412	Br6297	Vasc. SMC	42	1108	0.0379061371841155
