rn	LCloose	LCstrict	gained_or_altered_byNMseg_and_LCstrict	gained_or_altered_byNMseg_and_LCloose
Br0942_abliciak-1	No	No	No	No
Br0942_abljgcmo-1	No	No	No	No
Br0942_ablkefad-1	No	No	No	No
Br0942_abloaicf-1	No	No	No	No
Br0942_abmbnaej-1	No	No	No	No
Br0942_abmehced-1	No	No	No	No
Br0942_abmgfoga-1	No	No	No	No
Br0942_abmildhm-1	No	No	No	No
Br0942_abmllopj-1	No	No	No	No
Br0942_abmlnnoj-1	No	No	No	No
Br0942_abmonmfg-1	No	No	No	No
Br0942_abnaghgi-1	No	No	No	No
Br0942_abnbpbgg-1	No	No	No	No
Br0942_abnddljj-1	No	No	No	No
Br0942_abnfodkg-1	No	No	No	No
Br0942_abnoinao-1	No	No	No	No
Br0942_abobkodb-1	No	No	No	No
Br0942_abobmlce-1	No	No	No	No
Br0942_aboddljh-1	No	No	No	No
Br0942_abomkgcf-1	No	No	No	No
Br0942_abooiddi-1	No	No	No	No
Br0942_abooingc-1	No	No	No	No
Br0942_abopinhk-1	No	No	No	No
Br0942_acaakkbl-1	No	No	No	No
Br0942_acadbijf-1	No	No	No	No
Br0942_acajmkhp-1	No	No	No	No
Br0942_acamdfad-1	No	No	No	No
Br0942_acamedii-1	No	No	No	No
Br0942_acapbgen-1	No	No	No	No
Br0942_acbcffgj-1	No	No	No	No
Br0942_acbdcpdd-1	No	No	No	No
Br0942_acbikllc-1	No	No	No	No
Br0942_acbjmdna-1	No	No	No	No
Br0942_acbmnlbi-1	No	No	No	No
Br0942_acbnogfd-1	No	No	No	No
Br0942_acbodkdd-1	No	No	No	No
Br0942_acbooieo-1	No	No	No	No
Br0942_acbpahij-1	No	No	No	No
Br0942_acbpkgjg-1	No	No	No	No
Br0942_acbpmdba-1	No	No	No	No
Br0942_acbpobbi-1	No	No	No	No
Br0942_accacnjd-1	No	No	No	No
Br0942_acccgodd-1	No	No	No	No
Br0942_accckaoo-1	No	No	No	No
Br0942_accdahfi-1	No	No	No	No
Br0942_accdamoj-1	No	No	No	No
Br0942_accdjjme-1	No	No	No	No
Br0942_accepjmd-1	No	No	No	No
Br0942_acckmobo-1	No	No	No	No
Br0942_accninoh-1	No	No	No	No
Br0942_acdgjccg-1	No	No	No	No
Br0942_acdhfmpo-1	No	No	No	No
Br0942_acdmlkgc-1	No	No	No	No
Br0942_acdogdpn-1	No	No	No	No
Br0942_acdonhic-1	No	No	No	No
Br0942_acdpdibk-1	No	No	No	No
Br0942_aceabeef-1	No	No	No	No
Br0942_aceegfdd-1	No	No	No	No
Br0942_acefoekf-1	No	No	No	No
Br0942_aceghema-1	No	No	No	No
Br0942_aceljedo-1	No	No	No	No
Br0942_acepamig-1	No	No	No	No
Br0942_acfcfppa-1	No	No	No	No
Br0942_acfcghkc-1	No	No	No	No
Br0942_acfcjglo-1	No	No	No	No
Br0942_acfeacia-1	No	No	No	No
Br0942_acffllka-1	No	No	No	No
Br0942_acfhcaoe-1	No	No	No	No
Br0942_acfhcpmo-1	No	No	No	No
Br0942_acfhfmhm-1	No	No	No	No
Br0942_acfielki-1	No	No	No	No
Br0942_acfkneel-1	No	No	No	No
Br0942_acfookbe-1	No	No	No	No
Br0942_acgbabdb-1	No	No	No	No
Br0942_acgbgdog-1	No	No	No	No
Br0942_acggilcb-1	No	No	No	No
Br0942_acggpdnd-1	No	No	No	No
Br0942_acgkaljl-1	No	No	No	No
Br0942_acgmclih-1	No	No	No	No
Br0942_acgnfjph-1	No	No	No	No
Br0942_acgnkhcn-1	No	No	No	No
Br0942_acgpbknb-1	No	No	No	No
Br0942_achbpgno-1	No	No	No	No
Br0942_achkemkk-1	No	No	No	No
Br0942_achkofhi-1	No	No	No	No
Br0942_achpcgkg-1	No	No	No	No
Br0942_acicfdkb-1	No	No	No	No
Br0942_aciekcdo-1	No	No	No	No
Br0942_acigbmpl-1	No	No	No	No
Br0942_acigpiep-1	No	No	No	No
Br0942_acilelpm-1	No	No	No	No
Br0942_acilkoll-1	No	No	No	No
Br0942_acjbifjg-1	No	No	No	No
Br0942_acjdkomc-1	No	No	No	No
Br0942_acjebnnb-1	No	No	No	No
Br0942_acjeiekf-1	No	No	No	No
Br0942_acjemogi-1	No	No	No	No
Br0942_acjgondp-1	No	No	No	No
Br0942_ackjdgnk-1	No	No	No	No
Br0942_ackkjaaa-1	No	No	No	No
Br0942_ackkldae-1	No	No	No	No
Br0942_ackldgdo-1	No	No	No	No
Br0942_ackljfhb-1	No	No	No	No
Br0942_ackobafi-1	No	No	No	No
Br0942_acmbibdf-1	No	No	No	No
Br0942_acmdajag-1	No	No	No	No
Br0942_acmdfepp-1	No	No	No	No
Br0942_acmfhola-1	No	No	No	No
Br0942_acmmmcna-1	No	No	No	No
Br0942_acnajlpn-1	No	No	No	No
Br0942_acnboikd-1	No	No	No	No
Br0942_acnekoid-1	No	No	No	No
Br0942_acneokbn-1	No	No	No	No
Br0942_acnfnjmf-1	No	No	No	No
Br0942_acnjcnkh-1	No	No	No	No
Br0942_acnplaap-1	No	No	No	No
Br0942_acoahkjo-1	No	No	No	No
Br0942_aconfgoo-1	No	No	No	No
Br0942_acooocof-1	No	No	No	No
Br0942_acpbgnan-1	No	No	No	No
Br0942_acpeckce-1	No	No	No	No
Br0942_acpfiahf-1	No	No	No	No
Br0942_acpfkjnd-1	No	No	No	No
Br0942_acpfnggg-1	No	No	No	No
Br0942_acpgalcp-1	No	No	No	No
Br0942_acpjmipd-1	No	No	No	No
Br0942_acpmijeo-1	No	No	No	No
Br0942_acpnkikm-1	No	No	No	No
Br0942_adaakmeo-1	No	No	No	No
Br0942_adabbicn-1	No	No	No	No
Br0942_adadogei-1	No	No	No	No
Br0942_adahkdhc-1	No	No	No	No
Br0942_adajonll-1	No	No	No	No
Br0942_adalgilb-1	No	No	No	No
Br0942_adaloefo-1	No	No	No	No
Br0942_adanhlgg-1	No	No	No	No
Br0942_adaodlpn-1	No	No	No	No
Br0942_adbdlkem-1	No	No	No	No
Br0942_adbebfkl-1	No	No	No	No
Br0942_adbgohha-1	No	No	No	No
Br0942_adbgoidk-1	No	No	No	No
Br0942_adbjblbn-1	No	No	No	No
Br0942_adbkbpfb-1	No	No	No	No
Br0942_adcdbgce-1	No	No	No	No
Br0942_adcdoeff-1	No	No	No	No
Br0942_adcemnoc-1	No	No	No	No
Br0942_adcgfljb-1	No	No	No	No
Br0942_adcgniia-1	No	No	No	No
Br0942_adchpllh-1	No	No	No	No
Br0942_addaabim-1	No	No	No	No
Br0942_addfibaf-1	No	No	No	No
Br0942_addgkiba-1	No	No	No	No
Br0942_addiickk-1	No	No	No	No
Br0942_addkegip-1	No	No	No	No
Br0942_addkomea-1	No	No	No	No
Br0942_addmmlgm-1	No	No	No	No
Br0942_addoccnm-1	No	No	No	No
Br0942_adeegicm-1	No	No	No	No
Br0942_adefgeco-1	No	No	No	No
Br0942_adehmlie-1	No	No	No	No
Br0942_adelpmno-1	No	No	No	No
Br0942_adffpjhe-1	No	No	No	No
Br0942_adfjighc-1	No	No	No	No
Br0942_adfjmbma-1	No	No	No	No
Br0942_adfkinjk-1	No	No	No	No
Br0942_adfnmnji-1	No	No	No	No
Br0942_adgdepja-1	No	No	No	No
Br0942_adgejinb-1	No	No	No	No
Br0942_adggkdch-1	No	No	No	No
Br0942_adggkhip-1	No	No	No	No
Br0942_adgifoop-1	No	No	No	No
Br0942_adgkgjid-1	No	No	No	No
Br0942_adhfbmhp-1	No	No	No	No
Br0942_adhkofkl-1	No	No	No	No
Br0942_adhmfcib-1	No	No	No	No
Br0942_adhodkkc-1	No	No	No	No
Br0942_adhplgop-1	No	No	No	No
Br0942_adibdbjn-1	No	No	No	No
Br0942_adidgilm-1	No	No	No	No
Br0942_adifeoal-1	No	No	No	No
Br0942_adihkigj-1	No	No	No	No
Br0942_adihmmlh-1	No	No	No	No
Br0942_adildpci-1	No	No	No	No
Br0942_adimeeam-1	No	No	No	No
Br0942_adinbngn-1	No	No	No	No
Br0942_adiophen-1	No	No	No	No
Br0942_adipccfd-1	No	No	No	No
Br0942_adjbkgbd-1	No	No	No	No
Br0942_adjfcaoo-1	No	No	No	No
Br0942_adjlfanb-1	No	No	No	No
Br0942_adkdnldc-1	No	No	No	No
Br0942_adkeeelg-1	No	No	No	No
Br0942_adkjldmk-1	No	No	No	No
Br0942_adkjoplf-1	No	No	No	No
Br0942_adklmcbl-1	No	No	No	No
Br0942_adkonbkp-1	No	No	No	No
Br0942_adlajgmg-1	No	No	No	No
Br0942_adlbcjdh-1	No	No	No	No
Br0942_adldokma-1	No	No	No	No
Br0942_adleafgh-1	No	No	No	No
Br0942_adlgcibk-1	No	No	No	No
Br0942_adlgknph-1	No	No	No	No
Br0942_adlhofap-1	No	No	No	No
Br0942_adliijin-1	No	No	No	No
Br0942_adlkaipb-1	No	No	No	No
Br0942_admgnfbi-1	No	No	No	No
Br0942_admhdkcj-1	No	No	No	No
Br0942_admioace-1	No	No	No	No
Br0942_admkkofn-1	No	No	No	No
Br0942_admmcgij-1	No	No	No	No
Br0942_adndldep-1	No	No	No	No
Br0942_adnikoip-1	No	No	No	No
Br0942_adnkfmai-1	No	No	No	No
Br0942_adnnmglp-1	No	No	No	No
Br0942_adogejdd-1	No	No	No	No
Br0942_adojmfif-1	No	No	No	No
Br0942_adokkemd-1	No	No	No	No
Br0942_adommnom-1	No	No	No	No
Br0942_adoonlff-1	No	No	No	No
Br0942_adpbmnbp-1	No	No	No	No
Br0942_adpeocfg-1	No	No	No	No
Br0942_adpggmdi-1	No	No	No	No
Br0942_adpjefoj-1	No	No	No	No
Br0942_adpmbfmm-1	No	No	No	No
Br0942_aeabklac-1	No	No	No	No
Br0942_aeaeffel-1	No	No	No	No
Br0942_aeaehjib-1	No	No	No	No
Br0942_aeagmlja-1	No	No	No	No
Br0942_aeakbiji-1	No	No	No	No
Br0942_aeamhjil-1	No	No	No	No
Br0942_aeangjge-1	No	No	No	No
Br0942_aebaodob-1	No	No	No	No
Br0942_aebdkfnn-1	No	No	No	No
Br0942_aebepbii-1	No	No	No	No
Br0942_aebfbpke-1	No	No	No	No
Br0942_aebhdfdh-1	No	No	No	No
Br0942_aebijdmb-1	No	No	No	No
Br0942_aebmjhom-1	No	No	No	No
Br0942_aebobkjh-1	No	No	No	No
Br0942_aeccgnld-1	No	No	No	No
Br0942_aeccmgof-1	No	No	No	No
Br0942_aecddoig-1	No	No	No	No
Br0942_aecgbfgj-1	No	No	No	No
Br0942_aecgkkja-1	No	No	No	No
Br0942_aeckpcie-1	No	No	No	No
Br0942_aecpoleg-1	No	No	No	No
Br0942_aedancgl-1	No	No	No	No
Br0942_aedgdmla-1	No	No	No	No
Br0942_aedgglmn-1	No	No	No	No
Br0942_aedhbedi-1	No	No	No	No
Br0942_aedkoopb-1	No	No	No	No
Br0942_aedllenn-1	No	No	No	No
Br0942_aednkcog-1	No	No	No	No
Br0942_aedpebha-1	No	No	No	No
Br0942_aeebbipi-1	No	No	No	No
Br0942_aeecdhmg-1	No	No	No	No
Br0942_aeeiooam-1	No	No	No	No
Br0942_aeeogaci-1	No	No	No	No
Br0942_aefchomp-1	No	No	No	No
Br0942_aefgnako-1	No	No	No	No
Br0942_aefiambj-1	No	No	No	No
Br0942_aefjcajp-1	No	No	No	No
Br0942_aefjmmle-1	No	No	No	No
Br0942_aeflhfjk-1	No	No	No	No
Br0942_aefmdfla-1	No	No	No	No
Br0942_aefpddoh-1	No	No	No	No
Br0942_aegcngop-1	No	No	No	No
Br0942_aegfgpll-1	No	No	No	No
Br0942_aeggdegl-1	No	No	No	No
Br0942_aeggmbdb-1	No	No	No	No
Br0942_aeghaomj-1	No	No	No	No
Br0942_aeghimem-1	No	No	No	No
Br0942_aeghjfml-1	No	No	No	No
Br0942_aegigfne-1	No	No	No	No
Br0942_aegkdfag-1	No	No	No	No
Br0942_aeglacbd-1	No	No	No	No
Br0942_aegoeegg-1	No	No	No	No
Br0942_aehcaoho-1	No	No	No	No
Br0942_aehdfdno-1	No	No	No	No
Br0942_aehiemkc-1	No	No	No	No
Br0942_aehinpge-1	No	No	No	No
Br0942_aehjnkbe-1	No	No	No	No
Br0942_aehkogob-1	No	No	No	No
Br0942_aehlancd-1	No	No	No	No
Br0942_aehmmmlj-1	No	No	No	No
Br0942_aehnfghj-1	No	No	No	No
Br0942_aehpbeop-1	No	No	No	No
Br0942_aehpddgb-1	No	No	No	No
Br0942_aehpecle-1	No	No	No	No
Br0942_aehphahl-1	No	No	No	No
Br0942_aeibggnh-1	No	No	No	No
Br0942_aeidfoep-1	No	No	No	No
Br0942_aeidjajk-1	No	No	No	No
Br0942_aeigfcff-1	No	No	No	No
Br0942_aeikddok-1	No	No	No	No
Br0942_aeimmbef-1	No	No	No	No
Br0942_aeiobmbi-1	No	No	No	No
Br0942_aeiohcol-1	No	No	No	No
Br0942_aejadjlc-1	No	No	No	No
Br0942_aejdgkgj-1	No	No	No	No
Br0942_aejdpmca-1	No	No	No	No
Br0942_aejebokn-1	No	No	No	No
Br0942_aejhpinl-1	No	No	No	No
Br0942_aejinebo-1	No	No	No	No
Br0942_aejmbeom-1	No	No	No	No
Br0942_aejnkcbd-1	No	No	No	No
Br0942_aejpaehm-1	No	No	No	No
Br0942_aekbpema-1	No	No	No	No
Br0942_aekdhkan-1	No	No	No	No
Br0942_aekghmnl-1	No	No	No	No
Br0942_aekhfnhh-1	No	No	No	No
Br0942_aekhhmdb-1	No	No	No	No
Br0942_aekjanfe-1	No	No	No	No
Br0942_aekmodcj-1	No	No	No	No
Br0942_aekpdbpb-1	No	No	No	No
Br0942_aelchgki-1	No	No	No	No
Br0942_aelfffbk-1	No	No	No	No
Br0942_aelglpph-1	No	No	No	No
Br0942_aelgmjjk-1	No	No	No	No
Br0942_aellebli-1	No	No	No	No
Br0942_aellgcoo-1	No	No	No	No
Br0942_aelmaenh-1	No	No	No	No
Br0942_aelmhfhb-1	No	No	No	No
Br0942_aemacgac-1	No	No	No	No
Br0942_aemeeobm-1	No	No	No	No
Br0942_aemfajpi-1	No	No	No	No
Br0942_aemfkbgg-1	No	No	No	No
Br0942_aemgimmf-1	No	No	No	No
Br0942_aemieack-1	No	No	No	No
Br0942_aemkpbpn-1	No	No	No	No
Br0942_aenicdik-1	No	No	No	No
Br0942_aenmdecd-1	No	No	No	No
Br0942_aennpdlj-1	No	No	No	No
Br0942_aeocbbpf-1	No	No	No	No
Br0942_aeohclmj-1	No	No	No	No
Br0942_aeokgbjc-1	No	No	No	No
Br0942_aeolphpn-1	No	No	No	No
Br0942_aeonljbl-1	No	No	No	No
Br0942_aeopjgen-1	No	No	No	No
Br0942_aepdkcfd-1	No	No	No	No
Br0942_aepkbcdi-1	No	No	No	No
Br0942_aepljnjn-1	No	No	No	No
Br0942_aeppnnpl-1	No	No	No	No
Br0942_afaajicp-1	No	No	No	No
Br0942_afadddgm-1	No	No	No	No
Br0942_afadehim-1	No	No	No	No
Br0942_afafojjp-1	No	No	No	No
Br0942_afagfkbn-1	No	No	No	No
Br0942_afajefed-1	No	No	No	No
Br0942_afajjeme-1	No	No	No	No
Br0942_afaklbao-1	No	No	No	No
Br0942_afalhnmi-1	No	No	No	No
Br0942_afamhcdd-1	No	No	No	No
Br0942_afaokedo-1	No	No	No	No
Br0942_afbgpood-1	No	No	No	No
Br0942_afbhecgl-1	No	No	No	No
Br0942_afbidjmn-1	No	No	No	No
Br0942_afbidoni-1	No	No	No	No
Br0942_afbiiehn-1	No	No	No	No
Br0942_afbkelib-1	No	No	No	No
Br0942_afbmkjbk-1	No	No	No	No
Br0942_afbonffi-1	No	No	No	No
Br0942_afccobcl-1	No	No	No	No
Br0942_afcdnnan-1	No	No	No	No
Br0942_afcfiini-1	No	No	No	No
Br0942_afchokio-1	No	No	No	No
Br0942_afckknef-1	No	No	No	No
Br0942_afcnanoa-1	No	No	No	No
Br0942_afcneopd-1	No	No	No	No
Br0942_afdfoocd-1	No	No	No	No
Br0942_afdhkcgp-1	No	No	No	No
Br0942_afdkkaih-1	No	No	No	No
Br0942_afdlahek-1	No	No	No	No
Br0942_afdlmihj-1	No	No	No	No
Br0942_afdlndpm-1	No	No	No	No
Br0942_afdoakfo-1	No	No	No	No
Br0942_afdobafe-1	No	No	No	No
Br0942_afdpmfda-1	No	No	No	No
Br0942_afebihhc-1	No	No	No	No
Br0942_afecahdi-1	No	No	No	No
Br0942_afeccgcl-1	No	No	No	No
Br0942_afeebhho-1	No	No	No	No
Br0942_afehmfpp-1	No	No	No	No
Br0942_afekjhnb-1	No	No	No	No
Br0942_afeocakm-1	No	No	No	No
Br0942_afepbhhk-1	No	No	No	No
Br0942_afepiknp-1	No	No	No	No
Br0942_affbbfpi-1	No	No	No	No
Br0942_affbgdld-1	No	No	No	No
Br0942_affbhkkn-1	No	No	No	No
Br0942_affgkjok-1	No	No	No	No
Br0942_affhjgll-1	No	No	No	No
Br0942_affhogbn-1	No	No	No	No
Br0942_affiejfj-1	No	No	No	No
Br0942_afflnalc-1	No	No	No	No
Br0942_affnmpcj-1	No	No	No	No
Br0942_affplijc-1	No	No	No	No
Br0942_afgckhjg-1	No	No	No	No
Br0942_afgcnjpk-1	No	No	No	No
Br0942_afgcpbjl-1	No	No	No	No
Br0942_afgfgokm-1	No	No	No	No
Br0942_afgflibj-1	No	No	No	No
Br0942_afgiedik-1	No	No	No	No
Br0942_afgpcdem-1	No	No	No	No
Br0942_afhbkbjc-1	No	No	No	No
Br0942_afhfloce-1	No	No	No	No
Br0942_afhideil-1	No	No	No	No
Br0942_afhikfpo-1	No	No	No	No
Br0942_afhkpmmg-1	No	No	No	No
Br0942_afikcpfa-1	No	No	No	No
Br0942_afiknbdl-1	No	No	No	No
Br0942_afimefjl-1	No	No	No	No
Br0942_afimomnm-1	No	No	No	No
Br0942_afinfnpm-1	No	No	No	No
Br0942_afjagakj-1	No	No	No	No
Br0942_afjdaano-1	No	No	No	No
Br0942_afjfofeh-1	No	No	No	No
Br0942_afjggjaa-1	No	No	No	No
Br0942_afjhcndc-1	No	No	No	No
Br0942_afjkigfl-1	No	No	No	No
Br0942_afjlimip-1	No	No	No	No
Br0942_afjomeei-1	No	No	No	No
Br0942_afkcighd-1	No	No	No	No
Br0942_afkepnnm-1	No	No	No	No
Br0942_afkfdadi-1	No	No	No	No
Br0942_afkpplgk-1	No	No	No	No
Br0942_aflaednb-1	No	No	No	No
Br0942_afldhdoc-1	No	No	No	No
Br0942_afldibki-1	No	No	No	No
Br0942_afldjmio-1	No	No	No	No
Br0942_afldmpdd-1	No	No	No	No
Br0942_aflffnmg-1	No	No	No	No
Br0942_aflkjaog-1	No	No	No	No
Br0942_aflnkpbm-1	No	No	No	No
Br0942_afmbpbel-1	No	No	No	No
Br0942_afmhdeel-1	No	No	No	No
Br0942_afmkdfmf-1	No	No	No	No
Br0942_afmmleog-1	No	No	No	No
Br0942_afmomadf-1	No	No	No	No
Br0942_afmpcapl-1	No	No	No	No
Br0942_afnadamm-1	No	No	No	No
Br0942_afnahhkf-1	No	No	No	No
Br0942_afngdbml-1	No	No	No	No
Br0942_afnnhada-1	No	No	No	No
Br0942_afnpifen-1	No	No	No	No
Br0942_afoankfm-1	No	No	No	No
Br0942_afoaobmg-1	No	No	No	No
Br0942_afoddplo-1	No	No	No	No
Br0942_afodkdop-1	No	No	No	No
Br0942_afohofgp-1	No	No	No	No
Br0942_afomlnoh-1	No	No	No	No
Br0942_afoonjcb-1	No	No	No	No
Br0942_afpgglbo-1	No	No	No	No
Br0942_afpgjpmh-1	No	No	No	No
