rn	LCloose	LCstrict	gained_or_altered_byNMseg_and_LCstrict	gained_or_altered_byNMseg_and_LCloose
Br0942_cgpbcloi-1	No	No	No	No
Br0942_cgpbfmog-1	No	No	No	No
Br0942_cgpbkpdf-1	No	No	No	No
Br0942_cgpecmpd-1	No	No	No	No
Br0942_cgpgmjan-1	No	No	No	No
Br0942_cgphafbb-1	No	No	No	No
Br0942_cgpkabnk-1	No	No	No	No
Br0942_cgplanjj-1	No	No	No	No
Br0942_cgpmlhdi-1	No	No	No	No
Br0942_chabdodd-1	No	No	No	No
Br0942_chaccijd-1	No	No	No	No
Br0942_chadhfpb-1	No	No	No	No
Br0942_chahnbee-1	No	No	No	No
Br0942_chajnllp-1	No	No	No	No
Br0942_chandnib-1	No	No	No	No
Br0942_chbdgfcj-1	No	No	No	No
Br0942_chbefcpf-1	No	No	No	No
Br0942_chbehbeh-1	No	No	No	No
Br0942_chbljmbh-1	No	No	No	No
Br0942_chbnfclj-1	No	No	No	No
Br0942_chcafdbd-1	No	No	No	No
Br0942_chccbfjf-1	No	No	No	No
Br0942_chcfpigg-1	No	No	No	No
Br0942_chcggnkd-1	No	No	No	No
Br0942_chchfkhc-1	No	No	No	No
Br0942_chclnmoc-1	No	No	No	No
Br0942_chcppegj-1	No	No	No	No
Br0942_chdbjhgb-1	No	No	No	No
Br0942_chdefhdh-1	No	No	No	No
Br0942_chdgicad-1	No	No	No	No
Br0942_chdlfcef-1	No	No	No	No
Br0942_cheajnae-1	No	No	No	No
Br0942_chealjbo-1	No	No	No	No
Br0942_cheemmdc-1	No	No	No	No
Br0942_chelmpcj-1	No	No	No	No
Br0942_chepmdgk-1	No	No	No	No
Br0942_cheppckb-1	No	No	No	No
Br0942_chfcllpo-1	No	No	No	No
Br0942_chfelnbg-1	No	No	No	No
Br0942_chfipdkb-1	No	No	No	No
Br0942_chfkhlfd-1	No	No	No	No
Br0942_chfklacn-1	No	No	No	No
Br0942_chgbclai-1	No	No	No	No
Br0942_chgbjmfc-1	No	No	No	No
Br0942_chgbkjdl-1	No	No	No	No
Br0942_chgelfcf-1	No	No	No	No
Br0942_chgjghfi-1	No	No	No	No
Br0942_chgjiffc-1	No	No	No	No
Br0942_chgndpoi-1	No	No	No	No
Br0942_chgnkmej-1	No	No	No	No
Br0942_chhcfiif-1	No	No	No	No
Br0942_chhckacm-1	No	No	No	No
Br0942_chhfdeim-1	No	No	No	No
Br0942_chhgigin-1	No	No	No	No
Br0942_chhgjccl-1	No	No	No	No
Br0942_chhihjlk-1	No	No	No	No
Br0942_chhkfmkd-1	No	No	No	No
Br0942_chhmobgd-1	No	No	No	No
Br0942_chhndefd-1	No	No	No	No
Br0942_chhoecgm-1	No	No	No	No
Br0942_chiaakjn-1	No	No	No	No
Br0942_chiaamme-1	No	No	No	No
Br0942_chifjalg-1	No	No	No	No
Br0942_chiiigjm-1	No	No	No	No
Br0942_chimblmo-1	No	No	No	No
Br0942_chinpgbg-1	No	No	No	No
Br0942_chioplam-1	No	No	No	No
Br0942_chipbgmp-1	No	No	No	No
Br0942_chipmadi-1	No	No	No	No
Br0942_chippbjo-1	No	No	No	No
Br0942_chjbgjlj-1	No	No	No	No
Br0942_chjcnabl-1	No	No	No	No
Br0942_chjgbldn-1	No	No	No	No
Br0942_chjieblf-1	No	No	No	No
Br0942_chjiomjj-1	No	No	No	No
Br0942_chjjmmjf-1	No	No	No	No
Br0942_chjmdnca-1	No	No	No	No
Br0942_chjoogdf-1	No	No	No	No
Br0942_chkagpce-1	No	No	No	No
Br0942_chkjhfei-1	No	No	No	No
Br0942_chknbpih-1	No	No	No	No
Br0942_chkndgke-1	No	No	No	No
Br0942_chlabhjd-1	No	No	No	No
Br0942_chlejhek-1	No	No	No	No
Br0942_chlfflhd-1	No	No	No	No
Br0942_chlgcmep-1	No	No	No	No
Br0942_chlhakbc-1	No	No	No	No
Br0942_chlheegi-1	No	No	No	No
Br0942_chlnkdmo-1	No	No	No	No
Br0942_chlpdfaf-1	No	No	No	No
Br0942_chmdiknj-1	No	No	No	No
Br0942_chmidlpb-1	No	No	No	No
Br0942_chncoeeg-1	No	No	No	No
Br0942_chnehblg-1	No	No	No	No
Br0942_chngeoip-1	No	No	No	No
Br0942_chngkcco-1	No	No	No	No
Br0942_chnlancb-1	No	No	No	No
Br0942_chocajda-1	No	No	No	No
Br0942_chocmald-1	No	No	No	No
Br0942_choholmg-1	No	No	No	No
Br0942_chokombj-1	No	No	No	No
Br0942_chomeeha-1	No	No	No	No
Br0942_choofcco-1	No	No	No	No
Br0942_chpgggkm-1	No	No	No	No
Br0942_chpghmnl-1	No	No	No	No
Br0942_chpkoejl-1	No	No	No	No
Br0942_chpmojgm-1	No	No	No	No
Br0942_chpncola-1	No	No	No	No
Br0942_chpneleb-1	No	No	No	No
Br0942_chpphokl-1	No	No	No	No
Br0942_ciadebmc-1	No	No	No	No
Br0942_ciaeohbo-1	No	No	No	No
Br0942_ciafhjpa-1	No	No	No	No
Br0942_ciafidcg-1	No	No	No	No
Br0942_ciagdgak-1	No	No	No	No
Br0942_ciajikij-1	No	No	No	No
Br0942_ciamgeef-1	No	No	No	No
Br0942_cibbmkjm-1	No	No	No	No
Br0942_cibcifph-1	No	No	No	No
Br0942_cibedidf-1	No	No	No	No
Br0942_cibekikm-1	No	No	No	No
Br0942_cibglfno-1	No	No	No	No
Br0942_cibiahfg-1	No	No	No	No
Br0942_cibjgdkd-1	No	No	No	No
Br0942_cibkppmi-1	No	No	No	No
Br0942_cicdjndf-1	No	No	No	No
Br0942_cicdlppj-1	No	No	No	No
Br0942_cicehbok-1	No	No	No	No
Br0942_ciciepad-1	No	No	No	No
Br0942_cicmanbh-1	No	No	No	No
Br0942_cicmieka-1	No	No	No	No
Br0942_cicoeeno-1	No	No	No	No
Br0942_cicogpdb-1	No	No	No	No
Br0942_cidahgcl-1	No	No	No	No
Br0942_cidddhke-1	No	No	No	No
Br0942_cidgfnkc-1	No	No	No	No
Br0942_cidgolai-1	No	No	No	No
Br0942_cidjgnho-1	No	No	No	No
Br0942_cidjlccj-1	No	No	No	No
Br0942_cidkoiae-1	No	No	No	No
Br0942_ciedeiih-1	No	No	No	No
Br0942_cieeikan-1	No	No	No	No
Br0942_ciehpgcm-1	No	No	No	No
Br0942_ciepiojd-1	No	No	No	No
Br0942_ciffibep-1	No	No	No	No
Br0942_cifgaklc-1	No	No	No	No
Br0942_cifgnmji-1	No	No	No	No
Br0942_cifjlcpl-1	No	No	No	No
Br0942_cifnbjba-1	No	No	No	No
Br0942_cifnhelj-1	No	No	No	No
Br0942_cifofmfk-1	No	No	No	No
Br0942_cigefjbc-1	No	No	No	No
Br0942_cighbabh-1	No	No	No	No
Br0942_ciheebom-1	No	No	No	No
Br0942_cihgiifb-1	No	No	No	No
Br0942_cihgoefj-1	No	No	No	No
Br0942_cihhbakp-1	No	No	No	No
Br0942_cihpgedm-1	No	No	No	No
Br0942_cihpjmfg-1	No	No	No	No
Br0942_ciibdeen-1	No	No	No	No
Br0942_ciiecbce-1	No	No	No	No
Br0942_ciiieeek-1	No	No	No	No
Br0942_ciiknece-1	No	No	No	No
Br0942_ciiljedf-1	No	No	No	No
Br0942_ciimoaig-1	No	No	No	No
Br0942_ciinapkl-1	No	No	No	No
Br0942_cijdaoaa-1	No	No	No	No
Br0942_cijhepbi-1	No	No	No	No
Br0942_cijlffjp-1	No	No	No	No
Br0942_cijlnjgp-1	No	No	No	No
Br0942_cijnibkl-1	No	No	No	No
Br0942_cijofcib-1	No	No	No	No
Br0942_cijpnmma-1	No	No	No	No
Br0942_cijppjak-1	No	No	No	No
Br0942_cikcfeia-1	No	No	No	No
Br0942_cikchgei-1	No	No	No	No
Br0942_cikgfnhl-1	No	No	No	No
Br0942_cikhjnih-1	No	No	No	No
Br0942_cikiflfl-1	No	No	No	No
Br0942_cileapbh-1	No	No	No	No
Br0942_cilegcge-1	No	No	No	No
Br0942_cilgfpdh-1	No	No	No	No
Br0942_cilgglbh-1	No	No	No	No
Br0942_ciliklef-1	No	No	No	No
Br0942_ciljnbbj-1	No	No	No	No
Br0942_cilmclpg-1	No	No	No	No
Br0942_cilmfhcp-1	No	No	No	No
Br0942_cilmljan-1	No	No	No	No
Br0942_cilpcdkl-1	No	No	No	No
Br0942_cilphgkc-1	No	No	No	No
Br0942_cimabkbc-1	No	No	No	No
Br0942_cimaefdp-1	No	No	No	No
Br0942_cimaemai-1	No	No	No	No
Br0942_cimbpojk-1	No	No	No	No
Br0942_cimdfkke-1	No	No	No	No
Br0942_cimgieak-1	No	No	No	No
Br0942_cimpmabn-1	No	No	No	No
Br0942_cinacfgp-1	No	No	No	No
Br0942_cinbmogl-1	No	No	No	No
Br0942_cinedogj-1	No	No	No	No
Br0942_cinjbiii-1	No	No	No	No
Br0942_cinjmkjk-1	No	No	No	No
Br0942_cinmaphe-1	No	No	No	No
Br0942_cioahbjp-1	No	No	No	No
Br0942_ciodgkcb-1	No	No	No	No
Br0942_ciogihfb-1	No	No	No	No
Br0942_ciohoolb-1	No	No	No	No
Br0942_ciokgbbe-1	No	No	No	No
Br0942_cioohbig-1	No	No	No	No
Br0942_ciopdcaf-1	No	No	No	No
Br0942_ciopfcjc-1	No	No	No	No
Br0942_cipcjihe-1	No	No	No	No
Br0942_cipcppip-1	No	No	No	No
Br0942_cipdfdpa-1	No	No	No	No
Br0942_cipifhip-1	No	No	No	No
Br0942_ciplggne-1	No	No	No	No
Br0942_ciplifpc-1	No	No	No	No
Br0942_cipmdjeo-1	No	No	No	No
Br0942_cipmoajp-1	No	No	No	No
Br0942_cipneank-1	No	No	No	No
Br0942_cipojfpa-1	No	No	No	No
Br0942_cipolfjb-1	No	No	No	No
Br0942_cipoobml-1	No	No	No	No
Br0942_cippfhlm-1	No	No	No	No
Br0942_cjaepoof-1	No	No	No	No
Br0942_cjafmlfo-1	No	No	No	No
Br0942_cjahhikd-1	No	No	No	No
Br0942_cjajbobc-1	No	No	No	No
Br0942_cjakldnn-1	No	No	No	No
Br0942_cjallcgn-1	No	No	No	No
Br0942_cjamfhdh-1	No	No	No	No
Br0942_cjandbep-1	No	No	No	No
Br0942_cjaoefdd-1	No	No	No	No
Br0942_cjbbbckk-1	No	No	No	No
Br0942_cjbegiea-1	No	No	No	No
Br0942_cjbfohjn-1	No	No	No	No
Br0942_cjbihkpf-1	No	No	No	No
Br0942_cjbioilm-1	No	No	No	No
Br0942_cjblaolj-1	No	No	No	No
Br0942_cjbobedj-1	No	No	No	No
Br0942_cjbplcjc-1	No	No	No	No
Br0942_cjcjfnpc-1	No	No	No	No
Br0942_cjcjjjpg-1	No	No	No	No
Br0942_cjcpjdji-1	No	No	No	No
Br0942_cjdcepik-1	No	No	No	No
Br0942_cjdjemhn-1	No	No	No	No
Br0942_cjdkoham-1	No	No	No	No
Br0942_cjdopjfn-1	No	No	No	No
Br0942_cjebniij-1	No	No	No	No
Br0942_cjedbiha-1	No	No	No	No
Br0942_cjedglom-1	No	No	No	No
Br0942_cjeglhnj-1	No	No	No	No
Br0942_cjepnilj-1	No	No	No	No
Br0942_cjfakefe-1	No	No	No	No
Br0942_cjfbbaoo-1	No	No	No	No
Br0942_cjfchlla-1	No	No	No	No
Br0942_cjfdnejh-1	No	No	No	No
Br0942_cjfeljlh-1	No	No	No	No
Br0942_cjfkgmbi-1	No	No	No	No
Br0942_cjflfdec-1	No	No	No	No
Br0942_cjfmfhec-1	No	No	No	No
Br0942_cjfoecga-1	No	No	No	No
Br0942_cjfoidjp-1	No	No	No	No
Br0942_cjfpopdi-1	No	No	No	No
Br0942_cjgcikki-1	No	No	No	No
Br0942_cjggokko-1	No	No	No	No
Br0942_cjgjoknk-1	No	No	No	No
Br0942_cjgmgmda-1	No	No	No	No
Br0942_cjhighpc-1	No	No	No	No
Br0942_cjiaebbi-1	No	No	No	No
Br0942_cjiccbdl-1	No	No	No	No
Br0942_cjiebjhk-1	No	No	No	No
Br0942_cjifdenp-1	No	No	No	No
Br0942_cjiiimff-1	No	No	No	No
Br0942_cjiipkfi-1	No	No	No	No
Br0942_cjilfiob-1	No	No	No	No
Br0942_cjiokpop-1	No	No	No	No
Br0942_cjiphoaa-1	No	No	No	No
Br0942_cjjbdjjf-1	No	No	No	No
Br0942_cjjdbfjg-1	No	No	No	No
Br0942_cjjekhbb-1	No	No	No	No
Br0942_cjjfcbjd-1	No	No	No	No
Br0942_cjjnndgn-1	No	No	No	No
Br0942_cjjolcfo-1	No	No	No	No
Br0942_cjkbcnaj-1	No	No	No	No
Br0942_cjkcpkgb-1	No	No	No	No
Br0942_cjkeinie-1	No	No	No	No
Br0942_cjkjmmoe-1	No	No	No	No
Br0942_cjknmmbj-1	No	No	No	No
Br0942_cjkobajl-1	No	No	No	No
Br0942_cjlhogjk-1	No	No	No	No
Br0942_cjloecdk-1	No	No	No	No
Br0942_cjmaccbi-1	No	No	No	No
Br0942_cjmbghaf-1	No	No	No	No
Br0942_cjmbhbnj-1	No	No	No	No
Br0942_cjmddjan-1	No	No	No	No
Br0942_cjmdgemj-1	No	No	No	No
Br0942_cjmfamod-1	No	No	No	No
Br0942_cjmgbame-1	No	No	No	No
Br0942_cjmhglmc-1	No	No	No	No
Br0942_cjmiiblh-1	No	No	No	No
Br0942_cjmlnoaf-1	No	No	No	No
Br0942_cjndhldj-1	No	No	No	No
Br0942_cjndlcck-1	No	No	No	No
Br0942_cjnfgdea-1	No	No	No	No
Br0942_cjnknlne-1	No	No	No	No
Br0942_cjnkpcii-1	No	No	No	No
Br0942_cjnlpjbk-1	No	No	No	No
Br0942_cjnofngn-1	No	No	No	No
Br0942_cjnpncfk-1	No	No	No	No
Br0942_cjobidfo-1	No	No	No	No
Br0942_cjoflolc-1	No	No	No	No
Br0942_cjohfnfo-1	No	No	No	No
Br0942_cjojpfhh-1	No	No	No	No
Br0942_cjoklbgo-1	No	No	No	No
Br0942_cjoncmbm-1	No	No	No	No
Br0942_cjopechm-1	No	No	No	No
Br0942_cjpcnach-1	No	No	No	No
Br0942_cjpfledb-1	No	No	No	No
Br0942_cjphmaom-1	No	No	No	No
Br0942_ckafhjpc-1	No	No	No	No
Br0942_ckahmapi-1	No	No	No	No
Br0942_ckakbadc-1	No	No	No	No
Br0942_ckapedpe-1	No	No	No	No
Br0942_ckbamclj-1	No	No	No	No
Br0942_ckbcmcje-1	No	No	No	No
Br0942_ckbdekin-1	No	No	No	No
Br0942_ckbfajge-1	No	No	No	No
Br0942_ckbfkecm-1	No	No	No	No
Br0942_ckbkilhn-1	No	No	No	No
Br0942_ckbkompb-1	No	No	No	No
Br0942_ckbloklc-1	No	No	No	No
Br0942_ckchgngl-1	No	No	No	No
Br0942_ckchhnne-1	No	No	No	No
Br0942_ckcjiklg-1	No	No	No	No
Br0942_ckclobhf-1	No	No	No	No
Br0942_ckcpfcke-1	No	No	No	No
Br0942_ckdadlnl-1	No	No	No	No
Br0942_ckdidedj-1	No	No	No	No
Br0942_ckdkjoog-1	No	No	No	No
Br0942_ckedpcii-1	No	No	No	No
Br0942_ckegjjie-1	No	No	No	No
Br0942_ckejfbbp-1	No	No	No	No
Br0942_ckelfhal-1	No	No	No	No
Br0942_ckemdpnn-1	No	No	No	No
Br0942_ckfakdic-1	No	No	No	No
Br0942_ckfdobnn-1	No	No	No	No
Br0942_ckfhkbhl-1	No	No	No	No
Br0942_ckfjmcep-1	No	No	No	No
Br0942_ckfnpheb-1	No	No	No	No
Br0942_ckfpccem-1	No	No	No	No
Br0942_ckgfojln-1	No	No	No	No
Br0942_ckggaifg-1	No	No	No	No
Br0942_ckgkpaem-1	No	No	No	No
Br0942_ckgmbhif-1	No	No	No	No
Br0942_ckgnfhll-1	No	No	No	No
Br0942_ckhcclla-1	No	No	No	No
Br0942_ckhdkajk-1	No	No	No	No
Br0942_ckhdphnb-1	No	No	No	No
Br0942_ckhfblla-1	No	No	No	No
Br0942_ckhhegce-1	No	No	No	No
Br0942_ckhkfled-1	No	No	No	No
Br0942_ckhmmjka-1	No	No	No	No
Br0942_ckhpoebh-1	No	No	No	No
Br0942_ckidobga-1	No	No	No	No
Br0942_ckijliba-1	No	No	No	No
Br0942_ckimdbak-1	No	No	No	No
Br0942_ckiojdbn-1	No	No	No	No
Br0942_ckjclnjk-1	No	No	No	No
Br0942_ckjdpfin-1	No	No	No	No
Br0942_ckjfbgoe-1	No	No	No	No
Br0942_ckjodbdf-1	No	No	No	No
Br0942_ckkajaeb-1	No	No	No	No
Br0942_ckkajeln-1	No	No	No	No
Br0942_ckkgklkh-1	No	No	No	No
Br0942_ckkhnjnd-1	No	No	No	No
Br0942_ckkjienj-1	No	No	No	No
Br0942_ckkpledp-1	No	No	No	No
Br0942_cklbhafa-1	No	No	No	No
Br0942_ckleahfp-1	No	No	No	No
Br0942_cklgeilk-1	No	No	No	No
Br0942_cklgpkhd-1	No	No	No	No
Br0942_ckljjhcp-1	No	No	No	No
Br0942_ckllojcd-1	No	No	No	No
Br0942_cklpngcj-1	No	No	No	No
Br0942_ckmacdep-1	No	No	No	No
Br0942_ckmbjkng-1	No	No	No	No
Br0942_ckmcibda-1	No	No	No	No
Br0942_ckmggnba-1	No	No	No	No
Br0942_ckmiokdb-1	No	No	No	No
Br0942_ckmipkai-1	No	No	No	No
Br0942_ckmmkgin-1	No	No	No	No
Br0942_ckmnfnem-1	No	No	No	No
Br0942_ckmpahma-1	No	No	No	No
Br0942_cknapkke-1	No	No	No	No
Br0942_cknfdkdo-1	No	No	No	No
Br0942_ckniellk-1	No	No	No	No
Br0942_ckniohia-1	No	No	No	No
Br0942_ckokmnbc-1	No	No	No	No
Br0942_ckolpldd-1	No	No	No	No
Br0942_ckoneonl-1	No	No	No	No
Br0942_ckopeeie-1	No	No	No	No
Br0942_ckopldkp-1	No	No	No	No
Br0942_ckpdaimi-1	No	No	No	No
Br0942_ckpdikmj-1	No	No	No	No
Br0942_ckpedmif-1	No	No	No	No
Br0942_ckpglgnb-1	No	No	No	No
Br0942_ckpiopia-1	No	No	No	No
Br0942_ckpkfoph-1	No	No	No	No
Br0942_ckplniad-1	No	No	No	No
Br0942_claaibgp-1	No	No	No	No
Br0942_cladammd-1	No	No	No	No
Br0942_clajhghd-1	No	No	No	No
Br0942_clamjaae-1	No	No	No	No
Br0942_clamknei-1	No	No	No	No
Br0942_clamopik-1	No	No	No	No
Br0942_claolelm-1	No	No	No	No
Br0942_clbbeplf-1	No	No	No	No
Br0942_clbcledc-1	No	No	No	No
Br0942_clbcnknm-1	No	No	No	No
Br0942_clbdgbia-1	No	No	No	No
Br0942_clbdolej-1	No	No	No	No
Br0942_clblpgij-1	No	No	No	No
Br0942_clbmdiac-1	No	No	No	No
Br0942_clbnebao-1	No	No	No	No
Br0942_clbpfidd-1	No	No	No	No
Br0942_clcalcoc-1	No	No	No	No
Br0942_clcblmbc-1	No	No	No	No
Br0942_clcbpfce-1	No	No	No	No
Br0942_clccdmao-1	No	No	No	No
Br0942_clckdplg-1	No	No	No	No
Br0942_clcpjdll-1	No	No	No	No
Br0942_clddopej-1	No	No	No	No
Br0942_cldinece-1	No	No	No	No
Br0942_cldjpfio-1	No	No	No	No
Br0942_clecojgn-1	No	No	No	No
Br0942_clemkopo-1	No	No	No	No
Br0942_clempkcf-1	No	No	No	No
Br0942_clenaknl-1	No	No	No	No
Br0942_clfcaoen-1	No	No	No	No
Br0942_clfimofi-1	No	No	No	No
Br0942_clfpahmh-1	No	No	No	No
Br0942_clgadkeh-1	No	No	No	No
Br0942_clgfmooh-1	No	No	No	No
Br0942_clghcifg-1	No	No	No	No
Br0942_clgilafg-1	No	No	No	No
Br0942_clgmkiic-1	No	No	No	No
Br0942_clhaiejj-1	No	No	No	No
Br0942_clhflhid-1	No	No	No	No
Br0942_clhhgjfd-1	No	No	No	No
Br0942_cliebmil-1	No	No	No	No
Br0942_clignfeb-1	No	No	No	No
Br0942_clihhckj-1	No	No	No	No
Br0942_clindonh-1	No	No	No	No
Br0942_clinfbgm-1	No	No	No	No
Br0942_clinldfo-1	No	No	No	No
Br0942_clinnmjm-1	No	No	No	No
Br0942_cljchjhf-1	No	No	No	No
Br0942_cljdpadp-1	No	No	No	No
Br0942_cljfafdc-1	No	No	No	No
Br0942_cljgiieh-1	No	No	No	No
Br0942_cljgkabg-1	No	No	No	No
Br0942_cljgkgkg-1	No	No	No	No
Br0942_cljhemjl-1	No	No	No	No
Br0942_cljnmecc-1	No	No	No	No
Br0942_clkabbch-1	No	No	No	No
Br0942_clkaecmp-1	No	No	No	No
Br0942_clkdoacf-1	No	No	No	No
Br0942_clkjjgpj-1	No	No	No	No
Br0942_clkkgoid-1	No	No	No	No
Br0942_clkklcgk-1	No	No	No	No
Br0942_clkokaki-1	No	No	No	No
Br0942_cllabjap-1	No	No	No	No
Br0942_cllbggeh-1	No	No	No	No
Br0942_cllkdmlp-1	No	No	No	No
Br0942_cllnaobe-1	No	No	No	No
Br0942_clloidio-1	No	No	No	No
Br0942_cllphgep-1	No	No	No	No
Br0942_clmaiedf-1	No	No	No	No
Br0942_clmbhcpe-1	No	No	No	No
Br0942_clmjhobd-1	No	No	No	No
Br0942_clmlmdlc-1	No	No	No	No
Br0942_clmpfadk-1	No	No	No	No
Br0942_clnbhlef-1	No	No	No	No
Br0942_clnblgka-1	No	No	No	No
Br0942_clncnffd-1	No	No	No	No
Br0942_clnefnbk-1	No	No	No	No
Br0942_clnfmgnl-1	No	No	No	No
Br0942_clnnonca-1	No	No	No	No
Br0942_clnpgmne-1	No	No	No	No
Br0942_clobmojn-1	No	No	No	No
Br0942_cloibcpe-1	No	No	No	No
Br0942_clooodii-1	No	No	No	No
Br0942_cloopnfk-1	No	No	No	No
Br0942_clpbmfme-1	No	No	No	No
Br0942_clpckfoj-1	No	No	No	No
Br0942_clpedfpa-1	No	No	No	No
Br0942_clpfhckm-1	No	No	No	No
Br0942_clpgbpea-1	No	No	No	No
Br0942_clpikgik-1	No	No	No	No
Br0942_clploflp-1	No	No	No	No
Br0942_clpmicfe-1	No	No	No	No
Br0942_clpndbnb-1	No	No	No	No
Br0942_clpoionk-1	No	No	No	No
Br0942_cmaaoogd-1	No	No	No	No
Br0942_cmablkfk-1	No	No	No	No
Br0942_cmaddild-1	No	No	No	No
Br0942_cmadpgli-1	No	No	No	No
Br0942_cmaecekc-1	No	No	No	No
Br0942_cmaeidbd-1	No	No	No	No
Br0942_cmaggagm-1	No	No	No	No
Br0942_cmaigeph-1	No	No	No	No
Br0942_cmandaim-1	No	No	No	No
Br0942_cmbaffki-1	No	No	No	No
Br0942_cmbalbga-1	No	No	No	No
Br0942_cmbclaok-1	No	No	No	No
Br0942_cmbedaik-1	No	No	No	No
Br0942_cmbfgcea-1	No	No	No	No
Br0942_cmbikege-1	No	No	No	No
Br0942_cmbonkpb-1	No	No	No	No
Br0942_cmcbkbop-1	No	No	No	No
Br0942_cmcckiko-1	No	No	No	No
Br0942_cmcinile-1	No	No	No	No
Br0942_cmckgnph-1	No	No	No	No
Br0942_cmcldcmb-1	No	No	No	No
Br0942_cmcphcca-1	No	No	No	No
Br0942_cmcpjpfe-1	No	No	No	No
Br0942_cmcpkogo-1	No	No	No	No
Br0942_cmdddclk-1	No	No	No	No
Br0942_cmdffbbl-1	No	No	No	No
Br0942_cmdfonko-1	No	No	No	No
Br0942_cmdlfdoa-1	No	No	No	No
Br0942_cmedjmno-1	No	No	No	No
Br0942_cmedpgii-1	No	No	No	No
Br0942_cmefbddl-1	No	No	No	No
Br0942_cmegeidi-1	No	No	No	No
Br0942_cmeiifig-1	No	No	No	No
Br0942_cmeiiokh-1	No	No	No	No
Br0942_cmeohofn-1	No	No	No	No
Br0942_cmeoocdl-1	No	No	No	No
Br0942_cmffaomo-1	No	No	No	No
Br0942_cmfimfog-1	No	No	No	No
Br0942_cmfjholj-1	No	No	No	No
Br0942_cmgblaem-1	No	No	No	No
Br0942_cmgdnafh-1	No	No	No	No
Br0942_cmggikim-1	No	No	No	No
Br0942_cmglgiho-1	No	No	No	No
Br0942_cmhahfpn-1	No	No	No	No
Br0942_cmhaiopl-1	No	No	No	No
Br0942_cmhehmil-1	No	No	No	No
Br0942_cmhlfepf-1	No	No	No	No
Br0942_cmibkidc-1	No	No	No	No
Br0942_cmifmbka-1	No	No	No	No
Br0942_cmiidigg-1	No	No	No	No
Br0942_cmiiilab-1	No	No	No	No
Br0942_cmikeban-1	No	No	No	No
Br0942_cmioajla-1	No	No	No	No
Br0942_cmjafckg-1	No	No	No	No
Br0942_cmjfpnkb-1	No	No	No	No
Br0942_cmjgbamm-1	No	No	No	No
Br0942_cmjkahnl-1	No	No	No	No
Br0942_cmjkhell-1	No	No	No	No
Br0942_cmjkmhkf-1	No	No	No	No
Br0942_cmjnljik-1	No	No	No	No
Br0942_cmjobjjg-1	No	No	No	No
Br0942_cmjohcde-1	No	No	No	No
Br0942_cmkablfe-1	No	No	No	No
Br0942_cmkffpel-1	No	No	No	No
Br0942_cmkgcfmg-1	No	No	No	No
Br0942_cmkhkjde-1	No	No	No	No
Br0942_cmkhnegi-1	No	No	No	No
Br0942_cmkhnjla-1	No	No	No	No
Br0942_cmkjdmmp-1	No	No	No	No
Br0942_cmkjkekl-1	No	No	No	No
Br0942_cmklohhd-1	No	No	No	No
Br0942_cmlbofep-1	No	No	No	No
Br0942_cmldinbi-1	No	No	No	No
Br0942_cmldpkng-1	No	No	No	No
Br0942_cmlgfalh-1	No	No	No	No
Br0942_cmlglnom-1	No	No	No	No
Br0942_cmllglck-1	No	No	No	No
Br0942_cmlnbilp-1	No	No	No	No
Br0942_cmlnjbhj-1	No	No	No	No
Br0942_cmlpkbcj-1	No	No	No	No
Br0942_cmlpmong-1	No	No	No	No
Br0942_cmmapkik-1	No	No	No	No
Br0942_cmmbbehm-1	No	No	No	No
Br0942_cmmbjonc-1	No	No	No	No
Br0942_cmmgelfk-1	No	No	No	No
Br0942_cmmjjaao-1	No	No	No	No
Br0942_cmmmcdkj-1	No	No	No	No
Br0942_cmmmikej-1	No	No	No	No
Br0942_cmncejmc-1	No	No	No	No
Br0942_cmnclabc-1	No	No	No	No
Br0942_cmnelbpm-1	No	No	No	No
Br0942_cmnidmmi-1	No	No	No	No
Br0942_cmniinek-1	No	No	No	No
Br0942_cmnijedj-1	No	No	No	No
Br0942_cmnkdhec-1	No	No	No	No
Br0942_cmnmccjc-1	No	No	No	No
Br0942_cmobcejn-1	No	No	No	No
Br0942_cmodacak-1	No	No	No	No
Br0942_cmojhjem-1	No	No	No	No
Br0942_cmokceoj-1	No	No	No	No
Br0942_cmpcgjkk-1	No	No	No	No
Br0942_cmpffnjp-1	No	No	No	No
Br0942_cnaafbkg-1	No	No	No	No
Br0942_cnaahafe-1	No	No	No	No
Br0942_cnabkcmk-1	No	No	No	No
Br0942_cnabmmih-1	No	No	No	No
Br0942_cnabninf-1	No	No	No	No
Br0942_cnafgjde-1	No	No	No	No
Br0942_cnaikgcc-1	No	No	No	No
Br0942_cnaoiapb-1	No	No	No	No
Br0942_cnbcnilc-1	No	No	No	No
Br0942_cnbcocpd-1	No	No	No	No
Br0942_cnbhipmi-1	No	No	No	No
Br0942_cnbjnaho-1	No	No	No	No
Br0942_cnbkginj-1	No	No	No	No
Br0942_cnbnbeec-1	No	No	No	No
Br0942_cnbnjkhb-1	No	No	No	No
Br0942_cncabilp-1	No	No	No	No
Br0942_cncalamm-1	No	No	No	No
Br0942_cnccbopd-1	No	No	No	No
Br0942_cnchkple-1	No	No	No	No
Br0942_cnchlljd-1	No	No	No	No
Br0942_cncjfcaj-1	No	No	No	No
Br0942_cncjncgd-1	No	No	No	No
Br0942_cnckjllb-1	No	No	No	No
Br0942_cncmjgln-1	No	No	No	No
